feature,suggested_side,family,source_family,lane,in_box15_control,new_mechanism_feature,rows,coverage,minimum,p01,median,p99,maximum,standard_deviation,adjacent_season_median_correlation,adjacent_transitions,adjacent_player_pairs,early_late_smd,early_late_univariate_auc,source_shift_flag,stable_redundancy_member,screen_status
pull_up_3_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.2632072250452,0.2935685071623103,0.3275630265395936,0.36232600957889705,0.40086894032586046,0.013124172511638497,0.8257120016887615,8,6912,0.6121554366653169,0.6942433403581889,False,False,eligible_for_fold_internal_screen
matchup_blocks_p100,defense,disruption,matchup_defense,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.35297104362353077,2.6270962091416763,16.666666666666668,0.6212514290930784,0.9130828024282369,8,6912,0.5069609697984798,0.6914172385958416,False,False,eligible_for_fold_internal_screen
long_mid_fga_p100,offense,general_box_or_rate,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,1.1738997895952556,7.540079855592834,16.666666666666664,1.7732499100620083,0.9496078737400578,8,6912,-0.6658280808203885,0.6867295969074119,False,False,eligible_for_fold_internal_screen
very_tight_3_accuracy,offense,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.27517001364157356,0.7037707565717307,1.0,0.11875067853013695,0.7685045206462237,8,6912,0.26744411477226554,0.6814657728103679,False,False,eligible_for_fold_internal_screen
true_shooting_pct,both,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.43588400859756005,0.47719717762405395,0.5550465958404391,0.6471790287289573,0.7209296521158268,0.03440642333299064,0.9055081315992746,8,6912,0.5991607042013484,0.6741793364856266,False,True,prune_within_fold
contested_2pt_p100,defense,general_box_or_rate,defensive_tracking,retrospective_candidate,False,False,8620,1.0,0.0,0.0,4.524135919064183,17.852213251091353,24.869989165763812,4.047584860905256,0.9535106025699762,8,6912,0.5197479012834973,0.6729308953852607,False,False,eligible_for_fold_internal_screen
very_tight_fga_p100,offense,general_box_or_rate,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,1.411324942111352,5.9801003514957,33.33333333333333,1.3591493625031683,0.9367506549991709,8,6912,-0.4685013167065799,0.6577095215891117,False,False,eligible_for_fold_internal_screen
shot_quality_average,offense,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.3334,0.4504818779511261,0.5256403258266685,0.6167222747433753,0.69825,0.0321183453744977,0.9261125550716475,8,6912,0.45011580274997376,0.642142493405836,False,True,prune_within_fold
turnover_to_load_2017_eb,offense,turnovers,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.05540458205959821,0.06816111525035135,0.09470132590207042,0.1293540803235286,0.1714094455423025,0.012043038790801309,0.9288936185325604,8,6912,-0.46048986682283966,0.6419355577553079,False,False,eligible_for_fold_internal_screen
creation_to_load_2017_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.03912498010647765,0.07046786505732316,0.12404580803192686,0.2185544699557409,0.2814167439419963,0.029129394349987778,0.9593668731828583,8,6912,0.4248675390769758,0.6389129813703958,False,False,eligible_for_fold_internal_screen
fg2_pct,both,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.125,0.25,0.5103300777072788,0.7058808943488912,1.0,0.08123832830609702,0.8775916261644052,8,6912,0.3997967893720026,0.6375771631575148,False,False,eligible_for_fold_internal_screen
crafted_spacing_stable_v1,offense,three_spacing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,-0.2561968014506577,-0.06102275603257827,2.870965175005162,6.242225594100919,8.885998157974132,1.3638324666396568,0.9675753180420055,8,6912,0.4599219583006347,0.6375219124124556,False,False,eligible_for_fold_internal_screen
