Season,Age,PLAYER_ID,Name,MPG,Tier,Off,Def,RAPM,VORP_Off,VORP_Def,VORP,Poss_Off,Poss_Def,Poss,Ref_Age,cumOff_at_age,cumDef_at_age,cumRAPM_at_age,Off_at_ref,Def_at_ref,RAPM_at_ref
2015,23,202709,Cory Joseph,18.27,15-20,0.418,-2.996,3.415,3.226,-1.202,4.428,2800,2798,5598,27,2.3012007932947496,-0.7170225980310179,3.0181724058233925,1.132426233225638,-3.2746678387759456,4.4080758206088975
2016,24,202709,Cory Joseph,25.58,25-30,-0.307,-1.828,1.521,1.154,-0.165,1.32,4744,4749,9493,27,2.62133164388661,-0.8250187171968961,3.4462914380448963,0.08729538263377767,-1.998671719610067,2.0859567883873935
2017,25,202709,Cory Joseph,25.03,25-30,-0.498,0.071,-0.57,1.007,1.249,-0.242,4358,4369,8727,27,2.8452705083312853,-0.9068034780912906,3.7520093117094233,-0.32764348181089753,-0.017886958715672696,-0.3107610852771332
2018,26,202709,Cory Joseph,26.95,25-30,0.527,-0.124,0.651,2.013,1.562,0.451,4671,4677,9348,27,2.975801441755025,-0.9633858521012563,3.9391191540042314,0.5668255847653625,-0.15630458470570707,0.7231290724280584
2019,27,202709,Cory Joseph,25.16,25-30,0.686,-1.835,2.521,2.312,-0.476,2.788,4351,4362,8713,27,3.0156270265203875,-0.9956904368069632,4.01124822643229,0.6859999999999999,-1.835,2.521
2020,28,202709,Cory Joseph,24.44,20-25,-1.108,-1.782,0.675,1.026,-0.121,1.147,3546,3581,7127,27,2.9673728960967534,-1.0045542949518251,3.9718592869303655,-1.059745869576366,-1.7731361418551381,0.7143889395019243
2021,29,202709,Cory Joseph,22.95,20-25,0.585,0.456,0.129,3.012,1.763,1.249,2971,2990,5961,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,0.7670345822826179,0.451033746731792,0.3159956987503385
2022,30,202709,Cory Joseph,24.61,20-25,-0.616,-1.09,0.474,1.444,0.754,0.69,3238,3230,6468,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,-0.2171445828838574,-1.1308362567604544,0.9136802408535325
2023,31,202709,Cory Joseph,19.8,15-20,-0.194,0.315,-0.51,1.942,1.319,0.623,2485,2488,4973,27,2.319333625278637,-0.8975037073754619,3.216788317802911,0.5022934012417504,0.21681327056849864,0.2844599086293793
2024,32,202709,Cory Joseph,11.38,10-15,-1.937,-0.761,-1.175,0.089,0.384,-0.295,602,607,1209,27,1.9436436310748952,-0.8191359543648938,2.7627418330876834,-0.8650166045545078,-0.9375544824420695,0.07350639334460674
2012,22,202710,Jimmy Butler,8.55,5-10,-0.78,-1.394,0.614,1.71,-0.713,2.424,655,669,1324,27,1.8820081989734287,-0.5817253137197314,2.4636925317597482,0.35361882754695895,-1.8079651230872316,2.1615556946725416
2013,23,202710,Jimmy Butler,26.02,25-30,0.794,-1.598,2.392,2.278,-0.043,2.321,4799,4827,9626,27,2.3012007932947496,-0.7170225980310179,3.0181724058233925,1.508426233225638,-1.8766678387759457,3.385075820608897
2014,24,202710,Jimmy Butler,38.66,35-40,2.991,-3.204,6.195,3.022,-1.034,4.056,5196,5190,10386,27,2.62133164388661,-0.8250187171968961,3.4462914380448963,3.3852953826337777,-3.3746717196100673,6.7599567883873934
2015,25,202710,Jimmy Butler,38.67,35-40,4.31,-1.315,5.625,4.712,0.575,4.137,5801,5754,11555,27,2.8452705083312853,-0.9068034780912906,3.7520093117094233,4.480356518189101,-1.4038869587156726,5.884238914722866
2016,26,202710,Jimmy Butler,36.92,35-40,3.033,-1.55,4.583,3.049,0.278,2.77,4860,4834,9694,27,2.975801441755025,-0.9633858521012563,3.9391191540042314,3.0728255847653623,-1.5823045847057071,4.655129072428059
2017,27,202710,Jimmy Butler,36.96,35-40,3.727,-2.574,6.301,4.37,-1.024,5.394,6043,6016,12059,27,3.0156270265203875,-0.9956904368069632,4.01124822643229,3.727,-2.574,6.301
2018,28,202710,Jimmy Butler,36.68,35-40,3.85,-4.168,8.018,3.713,-1.678,5.39,4524,4505,9029,27,2.9673728960967534,-1.0045542949518251,3.9718592869303655,3.8982541304236342,-4.159136141855138,8.057388939501925
2019,29,202710,Jimmy Butler,33.62,30-35,3.064,-2.925,5.989,3.948,-1.097,5.045,5434,5450,10884,27,2.8335924442377696,-0.9907241835387552,3.824252527681951,3.2460345822826184,-2.9299662532682076,6.17599569875034
2020,30,202710,Jimmy Butler,33.78,30-35,3.122,-1.57,4.692,4.2,0.404,3.796,5541,5478,11019,27,2.616771609404245,-0.9548541800465091,3.5715679855787577,3.520855417116143,-1.610836256760454,5.131680240853532
