key,coef
1629646_off,-0.0025237051583400748
1629647_def,0.008234331453851688
1629647_off,-0.045312573206664014
1629649_def,0.012676569936868583
1629649_off,-0.014311301805798206
1629650_def,0.007485527567953452
1629650_off,-0.010588098963373128
1629651_def,-0.010765585552408963
1629651_off,-0.010407976452055321
1629652_def,-0.012340756825840293
1629652_off,0.002360974473513981
1629653_def,0.005993383016613363
1629653_off,-0.0035468492851743008
1629655_def,0.004808170184192164
1629655_off,2.6204980015676306e-05
1629656_def,-0.006950942140598682
1629656_off,-0.009959543447234117
1629657_def,-0.0032727497495697935
1629657_off,0.002780528898435597
1629658_def,0.009374851866282542
1629658_off,-0.009134430969702272
1629659_def,-0.0014722159668438283
1629659_off,-0.010914837701694931
1629660_def,-0.008890967580651114
1629660_off,-0.01890564796065984
1629661_def,-0.010828277161108102
1629661_off,-0.00016981808901511396
1629662_def,-0.00020288489206127713
1629662_off,-0.0006214967586106759
1629663_def,0.0037857476427757193
1629663_off,0.0005153187995188238
1629667_def,-0.008714680260089605
1629667_off,-0.001069705291616734
1629669_def,0.004295920387954177
1629669_off,0.014125211878938596
1629670_def,0.027564353702782655
1629670_off,-0.019892393448285084
1629671_def,3.8497398683984034e-05
1629671_off,-0.003158897140420886
1629672_def,0.001663532564048277
1629672_off,-0.002405369454072617
1629673_def,-0.0013457983579025395
1629673_off,-0.006200542144511546
1629674_def,0.0033041083453908106
1629674_off,0.003474521284405237
1629675_def,-0.018531075360645237
1629675_off,-0.01667939825468858
1629676_def,0.011227798543020152
1629676_off,-0.02853551061773251
1629677_def,-0.0028397965823119668
1629677_off,-0.0054549018075905785
1629678_def,0.010963941594820694
1629678_off,-0.027321131609458305
1629680_def,-0.031563704754932885
1629680_off,-0.015425258564891237
1629681_def,-0.004235262170474854
1629681_off,-0.004806707326514557
1629682_def,0.0022572852973837994
1629682_off,0.0018488560940565393
1629683_def,9.518457240288521e-05
1629683_off,0.0031272271784333516
1629684_def,0.0016673224847705765
1629684_off,-0.006770790567571108
1629685_def,-0.0008822347963097219
1629685_off,-0.013515474768356127
1629686_def,0.00033254875144146233
1629686_off,-0.0047831274391456746
1629712_def,-0.00037827084860217474
1629712_off,-0.012548155638268143
1629714_def,-0.004089966723384306
1629714_off,-0.001341911122884206
1629716_def,-0.0019807502444973437
1629716_off,-0.005854942024826715
1629717_def,0.00928193772065378
1629717_off,0.005113535246649604
1629718_def,-0.006771517089561372
1629718_off,-0.005496106672550268
1629719_def,-0.00015253714906347747
1629719_off,-0.0025391942750136063
1629723_def,-0.023685548970839167
1629723_off,-0.0021918290125381916
1629726_def,0.018245995029720005
1629726_off,-0.0018114373996087852
1629730_def,0.003999129118652516
1629730_off,0.001649277289164703
1629731_def,-0.049875834901533064
1629731_off,-0.016262680996222068
1629735_def,0.004060448861978245
1629735_off,0.004006730551236721
1629744_def,-0.003649828826529338
1629744_off,-0.0004816862277015154
1629750_def,-0.014204713130210985
1629750_off,0.020926156105854105
1629752_def,0.0028044787064692425
1629752_off,-0.000868744273616306
1629755_def,-0.003774762438442631
1629755_off,3.298140138195001e-05
1629783_def,-0.00031525051155300275
1629783_off,-0.0014103598546378996
1629833_def,0.012853282805489852
1629833_off,-0.005139181009158449
1629873_def,0.0001853614248213398
1629873_off,-0.003490896665430436
1629875_def,0.0063817557398911625
1629875_off,-0.00805949849751873
1629958_def,-0.00014704791865772132
1629958_off,0.00027946041495192616
1629962_def,-0.0006114117971578741
1629962_off,0.0030122577834378345
1630162_def,-0.017897801300673134
1630162_off,0.0229655482050168
1630163_def,0.008599313467284594
