Player,Ridge Coefficient,Bayesian Coefficient
101120_def,0.012214735441966119,0
201574_off,0.009213778770871471,0
201574_def,-0.0011828877378932405,0
201150_off,-0.00921023721903858,0
201150_def,0.018884940954272917,0
2755_off,0.030987723092071876,0
2755_def,0.038336186587266424,0
2757_off,0.00850516718140773,0
2757_def,0.00831575903147013,0
201576_off,-0.009811686502821049,0
201576_def,0.008779160769278182,0
101142_off,0.0018038756097315527,0
101142_def,-0.00440687346744818,0
101145_off,-0.0015866706698996747,0
101145_def,0.01440362998952627,0
101235_off,0.0041675995630937185,0
101235_def,0.002752807133899439,0
101128_off,-0.006613704646061365,0
101128_def,0.007530170351921041,0
101119_off,-0.01202157518930642,0
101119_def,-0.00456296589268321,0
1894_off,0.0030658468118405363,0
1894_def,0.02220773467904031,0
201633_off,-0.017274341533848936,0
201633_def,0.002728897942303342,0
201627_off,0.022208453542559195,0
201627_def,0.003828303285933813,0
201228_off,0.0012837703132067225,0
201228_def,-0.010414044225908213,0
201590_off,-0.008475434302433546,0
201590_def,-0.0051899729407013295,0
2209_off,0.003659490150621879,0
2209_def,-0.0033952995871005683,0
101115_off,-0.000797215241047293,0
101115_def,-0.017170588503797712,0
201148_off,-0.0010770905587838807,0
201148_def,0.0038106518995547397,0
201158_off,0.008368603724710651,0
201158_def,0.003486516786793675,0
2740_off,-0.017479002386202366,0
2740_def,0.004320656416310669,0
201180_off,-0.0028884448470870377,0
201180_def,0.009055067085756157,0
201202_off,-0.02538642262978661,0
201202_def,-0.017679957778074004,0
2617_off,-0.008713194840571205,0
2617_def,-0.0006449795192125325,0
201596_off,-0.010037973154110792,0
201596_def,-0.0068864113546418864,0
2548_off,0.06079684580204824,0
2548_def,-0.004905814622782312,0
1890_off,-0.0025603541172399356,0
1890_def,-0.008192045438476224,0
1536_off,0.014098813591342227,0
1536_def,0.009236206112779945,0
201563_off,-0.0031203412601651177,0
201563_def,0.004502131549543667,0
2556_off,-0.02226433915055604,0
2556_def,0.0013146559438168988,0
201161_off,0.0049921434467096355,0
201161_def,-0.00035167685605996736,0
200821_off,-0.012286224251003983,0
200821_def,0.002126376486659936,0
200809_off,0.0010771587206468685,0
200809_def,0.012697242636151697,0
200750_off,0.038391811348944024,0
200750_def,0.001029380934025193,0
2038_off,-0.00856717502459397,0
2038_def,-0.029723090161921928,0
201587_off,0.01645043445520828,0
201587_def,0.01524693438803704,0
2581_off,0.00952490322845814,0
2581_def,0.005939158637560586,0
200746_off,0.031655752789871226,0
