alpha,pid,beta_off
583.2645197880585,1630558,0.007742981598707564
583.2645197880585,203078,0.01911146632472089
583.2645197880585,1628401,0.012684551061161224
583.2645197880585,1630200,0.018499063363686778
583.2645197880585,1630541,0.015085768004135011
583.2645197880585,1641717,0.01899163654084542
583.2645197880585,1641715,0.018663155901379114
583.2645197880585,1627750,0.03385991937589081
583.2645197880585,1641708,0.031592990207023205
793.7005259841,1631170,0.03700910164143155
793.7005259841,1629216,0.02660218172213756
793.7005259841,1626156,0.0317677082216356
793.7005259841,203932,0.0266208732148185
793.7005259841,1630573,0.03492830540604056
793.7005259841,1630631,0.01850610869573913
793.7005259841,2544,0.026279382844394305
793.7005259841,1627752,0.014010996551901737
793.7005259841,203994,0.024708224469767552
793.7005259841,1629639,0.0022245883153005803
793.7005259841,1630540,0.012040784049409503
793.7005259841,1630558,0.005909079098039099
793.7005259841,203078,0.016359632737268922
793.7005259841,1628401,0.009438628677086898
793.7005259841,1630200,0.014081482843875432
793.7005259841,1630541,0.011433868032550726
793.7005259841,1641717,0.01510419163049753
793.7005259841,1641715,0.014592617660680632
793.7005259841,1627750,0.02760277041097669
793.7005259841,1641708,0.024119734704473178
1080.0597388923065,1631170,0.029125163104666944
1080.0597388923065,1629216,0.020684151738804415
1080.0597388923065,1626156,0.02538810635702794
1080.0597388923065,203932,0.021468450077373896
1080.0597388923065,1630573,0.02788793737210492
1080.0597388923065,1630631,0.013766461199568208
1080.0597388923065,2544,0.02120552781217634
1080.0597388923065,1627752,0.011483351439381699
1080.0597388923065,203994,0.019671574406121727
1080.0597388923065,1629639,0.001812996355872193
1080.0597388923065,1630540,0.009166264468833623
1080.0597388923065,1630558,0.004534218377684061
1080.0597388923065,203078,0.013609874783440732
1080.0597388923065,1628401,0.006926085445376153
1080.0597388923065,1630200,0.010619872864296123
1080.0597388923065,1630541,0.008565701907816444
1080.0597388923065,1641717,0.011835408701418613
1080.0597388923065,1641715,0.011228472719588193
1080.0597388923065,1627750,0.0222064017447473
1080.0597388923065,1641708,0.01823253701543003
1469.7344922755992,1631170,0.02268628709513398
1469.7344922755992,1629216,0.015926955330309744
1469.7344922755992,1626156,0.020056738282975335
1469.7344922755992,203932,0.01708315492915201
1469.7344922755992,1630573,0.02200726052968577
1469.7344922755992,1630631,0.01010227744510001
1469.7344922755992,2544,0.016926724660769936
1469.7344922755992,1627752,0.009235880425231208
1469.7344922755992,203994,0.01541667626185285
1469.7344922755992,1629639,0.001486784371443201
1469.7344922755992,1630540,0.006939576487411706
1469.7344922755992,1630558,0.0034962505708495905
1469.7344922755992,203078,0.011043076512437786
1469.7344922755992,1628401,0.005028760088313577
