alpha,pid,beta_off
944.9407874211547,1628983,0.05661863005787132
944.9407874211547,2544,0.05623336585604513
944.9407874211547,203081,0.06922786435269092
944.9407874211547,1626164,0.06567680206345723
944.9407874211547,1630162,0.03902990666020107
944.9407874211547,1628378,0.047897515240382015
944.9407874211547,203500,0.0595486995256552
944.9407874211547,202710,0.045040307653900026
944.9407874211547,1628973,0.05783540321628408
944.9407874211547,1630532,0.02035846375551977
1285.865974279609,203999,0.0841340633551131
1285.865974279609,203507,0.05240442585813149
1285.865974279609,202331,0.05049330725125415
1285.865974279609,202681,0.0662727229917542
1285.865974279609,203954,0.04549678955120089
1285.865974279609,201939,0.057157360016709534
1285.865974279609,201142,0.04914119006188868
1285.865974279609,201950,0.051812775411759264
1285.865974279609,1628369,0.05265190516192994
1285.865974279609,202695,0.041767134475258205
1285.865974279609,1628983,0.052609531299296686
1285.865974279609,2544,0.05290098305182764
1285.865974279609,203081,0.06577962823285456
1285.865974279609,1626164,0.06312775577659663
1285.865974279609,1630162,0.03620057649064701
1285.865974279609,1628378,0.045194307953735184
1285.865974279609,203500,0.055541950012406444
1285.865974279609,202710,0.042543311333821686
1285.865974279609,1628973,0.05557067006869552
1285.865974279609,1630532,0.01835382306722108
1749.7935593641744,203999,0.07818939974661089
1749.7935593641744,203507,0.048998816054109405
1749.7935593641744,202331,0.04683448334116022
1749.7935593641744,202681,0.0626015626354555
1749.7935593641744,203954,0.04185262893593635
1749.7935593641744,201939,0.053255421522452474
1749.7935593641744,201142,0.04599686093440338
1749.7935593641744,201950,0.049409410394094105
1749.7935593641744,1628369,0.05021936664724755
1749.7935593641744,202695,0.03963088165990351
1749.7935593641744,1628983,0.04812313576909265
1749.7935593641744,2544,0.04909189363562957
1749.7935593641744,203081,0.06169613809175648
1749.7935593641744,1626164,0.06009376196871041
1749.7935593641744,1630162,0.03307059807707059
1749.7935593641744,1628378,0.04217456732257264
1749.7935593641744,203500,0.05114772377436736
1749.7935593641744,202710,0.03970923448611354
1749.7935593641744,1628973,0.052925769077294675
1749.7935593641744,1630532,0.01609512708015513
2381.101577952298,203999,0.07185943023399496
2381.101577952298,203507,0.045256979853780466
2381.101577952298,202331,0.04283813997415641
2381.101577952298,202681,0.058340608132246126
2381.101577952298,203954,0.03806794361598977
2381.101577952298,201939,0.04897125938409331
2381.101577952298,201142,0.042526800816764784
2381.101577952298,201950,0.0465850519577031
2381.101577952298,1628369,0.04740181390870448
2381.101577952298,202695,0.03716991190357339
2381.101577952298,1628983,0.04324041800538192
2381.101577952298,2544,0.044830219041591735
2381.101577952298,203081,0.056999474401205674
2381.101577952298,1626164,0.056544164545373664
2381.101577952298,1630162,0.029699464694965965
2381.101577952298,1628378,0.03885561737371205
2381.101577952298,203500,0.046427764246038075
2381.101577952298,202710,0.03653527484730944
2381.101577952298,1628973,0.04988509549727352
2381.101577952298,1630532,0.013606380934946068
3240.1792166769173,203999,0.06528665307541141
3240.1792166769173,203507,0.04123148233005881
3240.1792166769173,202331,0.038580159557260435
3240.1792166769173,202681,0.05352267622302727
3240.1792166769173,203954,0.03423113891842262
3240.1792166769173,201939,0.044390909981922064
3240.1792166769173,201142,0.0388015873169552
3240.1792166769173,201950,0.043360876164266635
3240.1792166769173,1628369,0.044216290278312066
3240.1792166769173,202695,0.03438137202384442
3240.1792166769173,1628983,0.038098945115165275
3240.1792166769173,2544,0.040192044819312614
3240.1792166769173,203081,0.051778210238869686
3240.1792166769173,1626164,0.05248103818347953
3240.1792166769173,1630162,0.026181916663924103
3240.1792166769173,1628378,0.035288413117083785
3240.1792166769173,203500,0.04147667374467814
3240.1792166769173,202710,0.033053757437611644
3240.1792166769173,1628973,0.04646323378149194
3240.1792166769173,1630532,0.01095110452765224
4409.203476826795,203999,0.058630161656679204
4409.203476826795,203507,0.037013226106770714
4409.203476826795,202331,0.034168573714132365
4409.203476826795,202681,0.04824761549870671
4409.203476826795,203954,0.03043892051002683
4409.203476826795,201939,0.03963375155001219
4409.203476826795,201142,0.034920124046955305
4409.203476826795,201950,0.039800284676881945
4409.203476826795,1628369,0.040715205417232135
4409.203476826795,202695,0.03129584689818112
4409.203476826795,1628983,0.03287769258726753
4409.203476826795,2544,0.035308702361114774
4409.203476826795,203081,0.046179631364314605
4409.203476826795,1626164,0.047958250168442254
4409.203476826795,1630162,0.02263771176986596
