lam_off,lam_def,lam_home,lam_rb,lam_playoff,mean_rmse,std_rmse
3000.0,6000.0,500.0,250.0,2500.0,1.1880913758086746,0.0009933619747622133
3000.0,6000.0,50.0,2500.0,2500.0,1.188091378161974,0.000993335333480895
3000.0,6000.0,500.0,2500.0,2500.0,1.188091378367731,0.0009933619769530715
3000.0,6000.0,5000.0,250.0,2500.0,1.1880913842978247,0.0009936249781666187
3000.0,6000.0,5000.0,2500.0,2500.0,1.1880913868618768,0.0009936249837086675
1500.0,1500.0,500.0,250.0,250.0,1.1881230165240602,0.0010171761730309596
1500.0,1500.0,50.0,250.0,250.0,1.188123017465384,0.0010171489844347245
1500.0,1500.0,5000.0,250.0,250.0,1.1881230186698086,0.0010174377015467792
1500.0,1500.0,50.0,2500.0,250.0,1.188123019363496,0.0010171496585216432
1500.0,1500.0,500.0,2500.0,250.0,1.1881230203813613,0.0010171761074650556
1500.0,1500.0,5000.0,2500.0,250.0,1.1881230221263683,0.0010174381976298073
1500.0,1500.0,50.0,250.0,2500.0,1.1881231663680385,0.0010169062159376622
1500.0,1500.0,500.0,250.0,2500.0,1.1881231669437553,0.0010169332708956846
1500.0,1500.0,5000.0,250.0,2500.0,1.1881231671637198,0.0010171952906806634
1500.0,1500.0,500.0,2500.0,2500.0,1.1881231689561462,0.0010169337892324381
1500.0,1500.0,50.0,2500.0,2500.0,1.188123169446474,0.0010169072353232878
1500.0,1500.0,5000.0,2500.0,2500.0,1.1881231695727303,0.0010171953883203006
3000.0,1500.0,500.0,250.0,250.0,1.1881261685835343,0.0010119996037360021
3000.0,1500.0,50.0,250.0,250.0,1.1881261688871965,0.0010119731294665848
3000.0,1500.0,500.0,2500.0,250.0,1.1881261712055178,0.0010119996317378224
3000.0,1500.0,50.0,2500.0,250.0,1.1881261714893714,0.0010119731867654544
3000.0,1500.0,5000.0,250.0,250.0,1.188126171504003,0.0010122602040225053
3000.0,1500.0,5000.0,2500.0,250.0,1.1881261737302218,0.0010122604494961001
