Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Jordan Poole,1629673,1642,1622,-0.004,-0.189,0.185,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.89,0.97,-0.763,0.755,-1.933,1.555,-1.717,2.087
Otto Porter Jr.,203490,685,671,0.046,-0.133,0.178,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.909,0.989,-0.717,0.808,-1.915,1.649,-1.76,2.117
Cam Whitmore,1641715,133,131,0.012,-0.163,0.175,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.923,1.002,-0.753,0.777,-1.971,1.646,-1.789,2.138
Bruce Brown,1628971,1335,1315,0.055,-0.118,0.173,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.895,0.975,-0.705,0.816,-1.872,1.637,-1.739,2.085
Caleb Martin,1628997,1749,1759,-0.0,-0.169,0.168,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.887,0.968,-0.759,0.759,-1.908,1.571,-1.729,2.066
Davion Mitchell,1630558,411,413,-0.016,-0.178,0.162,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.915,0.995,-0.78,0.748,-1.972,1.617,-1.788,2.112
Gary Payton II,1627780,696,702,0.029,-0.131,0.159,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.909,0.988,-0.734,0.791,-1.911,1.65,-1.778,2.096
Caris LeVert,1627747,536,538,-0.034,-0.192,0.158,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.913,0.992,-0.797,0.73,-1.98,1.597,-1.787,2.103
Tobias Harris,202699,1732,1732,0.002,-0.155,0.157,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.889,0.97,-0.757,0.761,-1.898,1.588,-1.744,2.058
Nickeil Alexander-Walker,1629638,465,463,0.001,-0.156,0.156,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.914,0.994,-0.763,0.764,-1.948,1.636,-1.792,2.104
Jaime Jaquez Jr.,1631170,228,226,0.035,-0.117,0.152,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.92,0.999,-0.729,0.799,-1.92,1.687,-1.807,2.11
Trey Lyles,1626168,358,355,-0.005,-0.157,0.152,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.917,0.996,-0.769,0.759,-1.954,1.64,-1.801,2.105
Danny Green,201980,614,609,0.011,-0.141,0.152,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.911,0.991,-0.752,0.774,-1.926,1.645,-1.789,2.094
Paul George,202331,131,130,0.011,-0.136,0.146,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.002,-0.754,0.775,-1.944,1.672,-1.817,2.109
Christian Braun,1631128,517,513,-0.019,-0.163,0.144,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.913,0.993,-0.782,0.744,-1.953,1.626,-1.801,2.089
D'Angelo Russell,1626156,1648,1625,0.043,-0.096,0.139,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.89,0.971,-0.716,0.803,-1.84,1.649,-1.763,2.041
Naji Marshall,1630230,205,211,0.017,-0.12,0.137,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.92,1.0,-0.747,0.782,-1.924,1.684,-1.822,2.097
Jrue Holiday,201950,1216,1224,-0.003,-0.134,0.131,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.898,0.978,-0.764,0.758,-1.894,1.626,-1.787,2.049
Anthony Davis,203076,1453,1443,0.057,-0.072,0.129,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.896,0.976,-0.703,0.817,-1.827,1.683,-1.783,2.042
Jose Alvarado,1630631,474,479,0.008,-0.117,0.125,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.914,0.993,-0.755,0.772,-1.908,1.674,-1.822,2.072
Miles McBride,1630540,105,106,0.005,-0.12,0.125,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.923,1.002,-0.76,0.77,-1.929,1.69,-1.84,2.089
Sam Hauser,1630573,260,246,0.056,-0.066,0.122,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.919,0.999,-0.709,0.82,-1.868,1.736,-1.836,2.079
Amen Thompson,1641708,154,153,0.022,-0.1,0.122,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.001,-0.743,0.786,-1.907,1.707,-1.84,2.084
Luke Kornet,1628436,85,77,0.033,-0.087,0.12,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.732,0.798,-1.898,1.724,-1.846,2.086
Robert Williams III,1629057,1443,1425,0.037,-0.081,0.118,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.894,0.974,-0.723,0.797,-1.833,1.671,-1.792,2.027
Kyle Lowry,200768,1814,1826,0.021,-0.095,0.117,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.885,0.966,-0.737,0.78,-1.83,1.64,-1.777,2.01
Brandon Clarke,1629634,583,589,-0.034,-0.15,0.116,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.911,0.991,-0.797,0.729,-1.936,1.636,-1.826,2.058
Jaylin Williams,1631119,150,152,0.022,-0.09,0.112,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.001,-0.743,0.787,-1.897,1.717,-1.85,2.075
Reggie Jackson,202704,256,259,-0.027,-0.138,0.111,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.919,0.998,-0.791,0.738,-1.94,1.663,-1.846,2.068
Pat Connaughton,1626192,771,778,-0.043,-0.152,0.109,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.907,0.987,-0.805,0.719,-1.929,1.625,-1.825,2.043
Jaden McDaniels,1630183,477,468,0.029,-0.08,0.109,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.914,0.994,-0.735,0.792,-1.872,1.711,-1.838,2.057
Georges Niang,1627777,737,749,-0.008,-0.113,0.105,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.907,0.987,-0.771,0.754,-1.891,1.665,-1.83,2.039
Dewayne Dedmon,203473,226,224,-0.009,-0.113,0.104,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.92,0.999,-0.774,0.755,-1.917,1.69,-1.855,2.063
