Name,Off,Def,Rapm
Frank Ntilikina,-0.3372823533639,-2.8591068782737,2.5218245249098
Pablo Prigioni,0.42282909314744,-2.09190917758845,2.51473827073589
Isaiah Whitehead,0.7451861246505199,-1.7681610736732598,2.5133471983237796
Anthony Parker,1.8948779104198101,-0.61071140134692,2.5055893117667303
Okaro White,1.7186220791373898,-0.7861785075698201,2.50480058670721
Justise Winslow,-1.26168216288777,-3.76194819674385,2.50026603385608
Dejounte Murray,2.74786674993371,0.2503026768635,2.49756407307021
Anthony Gill,2.7742966610013,0.28785146698078,2.4864451940205203
Nemanja Bjelica,1.29401779049833,-1.19035353916891,2.4843713296672396
Isaiah Thomas,4.3702490585838705,1.8868217681237298,2.48342729046014
Cuttino Mobley,1.85593283238077,-0.6208325146277,2.4767653470084703
Willie Reed,0.70818983274936,-1.76733718224607,2.4755270149954303
Elijah Millsap,-0.43888012240642,-2.91394340120236,2.47506327879594
Othyus Jeffers,2.23663717869966,-0.23662052956854,2.4732577082682
Nikola Pekovic,0.8375725491225801,-1.63439242471164,2.4719649738342198
John Konchar,2.0970418514402698,-0.3747107456478,2.47175259708807
Darrell Armstrong,1.18410248082418,-1.28204956215749,2.4661520429816703
P.J. Tucker,1.1064226116993698,-1.35758725460954,2.46400986630891
Quincy Miller,1.63712922806094,-0.8246946725267299,2.4618239005876696
Brook Lopez,1.3867101737006802,-1.07143217654493,2.4581423502456103
Jason Thompson,1.86575795550675,-0.5876905199795099,2.45344847548626
Andre Drummond,1.94999564692626,-0.49697798153546,2.44697362846172
Ryan Anderson,3.1610138004008497,0.72614593915571,2.4348678612451398
Milos Teodosic,2.48529603182167,0.059737514010400006,2.42555851781127
Ryan Kelly,1.85779423576883,-0.56225893621695,2.42005317198578
Al-Farouq Aminu,-0.28258856584354997,-2.69894733747643,2.41635877163288
Raef LaFrentz,2.04809629627459,-0.36413042062693,2.41222671690152
Rudy Gay,1.4433467542812901,-0.96726323484183,2.41060998912312
Chandler Parsons,1.6129971795788698,-0.79257218616642,2.40556936574529
Jamal Mashburn,1.09162657982731,-1.31213166999011,2.40375824981742
Darius Miller,2.25607444219954,-0.14561632316175,2.4016907653612902
Jordan McLaughlin,0.64117797896894,-1.75072090367019,2.39189888263913
Matt Bonner,2.8365259680938797,0.45070470311862,2.38582126497526
Patty Mills,1.7270078929145698,-0.65084485707948,2.37785274999405
Hakeem Olajuwon,-0.50847852285453,-2.88240971592302,2.3739311930684894
Richie Frahm,0.9125795527656799,-1.46028557185721,2.3728651246228902
Steve Francis,2.10060974297464,-0.26913842589388,2.36974816886852
John Starks,1.6813420235135799,-0.66395669437796,2.3452987178915397
John Collins,2.15127404309268,-0.19393016523855,2.34520420833123
Kenneth Faried,3.08572165930824,0.74219358742522,2.34352807188302
Bracey Wright,0.92879930510343,-1.39822879467965,2.3270280997830803
De'Aaron Fox,4.72289921559551,2.3960648315664903,2.32683438402902
Jae Crowder,1.58183857923919,-0.73273742269078,2.3145760019299697
Day'Ron Sharpe,2.52778439012351,0.21550426283961002,2.3122801272839
P.J. Washington,2.1220584822949,-0.18655761137318,2.30861609366808
Svi Mykhailiuk,1.8350326246731001,-0.46590929174171997,2.30094191641482
Josh Smith,-0.12125018652022,-2.41086555053828,2.28961536401806
Tyrese Haliburton,5.16538250011391,2.88152165874715,2.2838608413667605
Boris Diaw,0.47546786649511,-1.79994774824273,2.27541561473784
Brendan Haywood,-1.37364792525292,-3.6476266219788402,2.27397869672592
Tremaine Fowlkes,-0.24225188535443,-2.51449452332995,2.27224263797552
Olumide Oyedeji,0.69189191672659,-1.57982379483712,2.2717157115637097
Jackie Butler,1.6244583713278902,-0.64425191870694,2.26871029003483
John Wall,1.9056128646567,-0.3591305679553,2.264743432612
T.J. Ford,0.9463275893447899,-1.29866354477412,2.24499113411891
Austin Reaves,2.1985907819032002,-0.01720295813999,2.2157937400431904
Lonzo Ball,0.19977125397010997,-2.01158174885492,2.21135300282503
Dean Wade,-0.777243858892,-2.98854892480706,2.21130506591506
Seth Curry,2.5397497878960102,0.33209725233245,2.20765253556356
Antawn Jamison,3.3798122078780004,1.17855813041609,2.2012540774619103
Vladimir Radmanovic,1.5402270871846,-0.65638614798462,2.1966132351692202
Nikola Jovic,1.50144185411839,-0.69366681907281,2.1951086731912
Josh Huestis,0.9863986344439499,-1.20583318829383,2.19223182273778
Jon Brockman,1.2849043198202899,-0.90701144306699,2.19191576288728
Eduardo Najera,0.36441408196354996,-1.82631949822363,2.19073358018718
Klay Thompson,2.83727982412132,0.65957301086282,2.1777068132585
Isaiah Stewart,0.66331036530343,-1.51355490501479,2.17686527031822
Jason Collins,-2.57306644788184,-4.7467187006546,2.17365225277276
Allen Iverson,3.87843787115257,1.70820895092464,2.17022892022793
Tyus Jones,3.03221680777491,0.86776863103294,2.1644481767419697
Joakim Noah,-0.33718882197871,-2.48765745571343,2.15046863373472
Ekpe Udoh,-0.34124709590343,-2.48673058700642,2.14548349110299
Gustavo Ayon,0.05812006962073,-2.08108055340367,2.1392006230244
Reggie Jackson,1.45723364058451,-0.6816153376627501,2.13884897824726
Kurt Thomas,-0.67192274167918,-2.81038631946431,2.13846357778513
Chris Mullin,1.9498774260869,-0.18082918455278998,2.13070661063969
Ben Sheppard,2.60290213949942,0.48082889591784994,2.1220732435815703
Landry Fields,0.22246607798677,-1.89891537181348,2.1213814498002503
Anfernee Hardaway,-0.6498652193838901,-2.75747696467979,2.1076117452959
Ben Simmons,1.85674992694077,-0.2508412299279,2.10759115686867
Naji Marshall,1.83221764342222,-0.2752596565339,2.1074772999561198
Rudy Fernandez,0.8170160417354201,-1.28717281300381,2.10418885473923
Kerry Kittles,1.65064925334732,-0.45237246366911,2.10302171701643
Grant Hill,2.33992119982446,0.23772242915205,2.1021987706724103
Rodney McGruder,2.05801781453686,-0.03941609480365,2.09743390934051
Rik Smits,2.4829199524464203,0.39311465515579,2.08980529729063
