Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi,Season
Karl-Anthony Towns,1626157,33.9,30-35,168,165,-6.532,-0.818,-5.713,-1.731,-2.124,-4.8,1.305,-6.106,5.085,5.085,7.192,-16.499,3.436,-10.785,9.149,-19.809,8.382,2024-25
Bryce McGowens,1631121,12.69,10-15,103,106,-7.137,-1.409,-5.728,-2.203,-1.182,-4.934,-0.227,-4.707,5.168,5.162,7.303,-17.265,2.991,-11.526,8.708,-20.041,8.585,2024-25
Brandon Williams,1630314,12.0,10-15,100,104,-6.338,-0.555,-5.783,-2.203,-1.182,-4.135,0.628,-4.763,5.188,5.179,7.338,-16.508,3.831,-10.706,9.596,-20.165,8.598,2024-25
Duop Reath,1641871,14.77,10-15,91,94,-6.14,-0.028,-6.112,-2.203,-1.182,-3.936,1.155,-5.091,5.21,5.205,7.364,-16.351,4.072,-10.23,10.175,-20.546,8.322,2024-25
Donte DiVincenzo,1628978,27.74,25-30,219,217,-4.908,1.215,-6.122,-1.9,-1.756,-3.008,2.971,-5.979,5.031,5.033,7.122,-14.768,4.953,-8.649,11.079,-20.081,7.836,2024-25
Emoni Bates,1641734,8.3,5-10,58,58,-6.905,-0.544,-6.361,-2.148,-1.409,-4.757,0.865,-5.622,5.322,5.322,7.526,-17.336,3.526,-10.975,9.888,-21.112,8.39,2024-25
Olivier-Maxence Prosper,1641765,10.0,10-15,141,141,-7.544,-1.163,-6.381,-2.203,-1.182,-5.341,0.019,-5.36,5.116,5.114,7.242,-17.572,2.484,-11.187,8.86,-20.574,7.813,2024-25
Brandon Ingram,1627742,32.9,30-35,171,174,-7.116,-0.712,-6.404,-1.731,-2.124,-5.385,1.412,-6.796,5.016,5.012,7.099,-16.948,2.716,-10.536,9.112,-20.318,7.511,2024-25
Tim Hardaway Jr.,203501,27.39,25-30,107,110,-6.464,0.017,-6.481,-1.9,-1.756,-4.564,1.773,-6.337,5.129,5.121,7.246,-16.517,3.589,-10.019,10.053,-20.682,7.721,2024-25
Justin Minaya,1631303,9.09,5-10,134,137,-7.797,-1.254,-6.543,-2.148,-1.409,-5.65,0.155,-5.804,5.131,5.126,7.254,-17.853,2.259,-11.302,8.794,-20.76,7.674,2024-25
Kyle Anderson,203937,19.89,15-20,74,75,-8.277,-1.65,-6.628,-2.43,-2.099,-5.848,0.45,-6.297,5.23,5.227,7.396,-18.528,1.973,-11.895,8.595,-21.123,7.868,2024-25
Jaden Hardy,1630702,14.59,10-15,125,125,-9.024,-2.258,-6.766,-2.203,-1.182,-6.82,-1.075,-5.745,5.153,5.154,7.294,-19.123,1.075,-12.359,7.844,-21.063,7.53,2024-25
Andrew Wiggins,203952,28.72,25-30,168,170,-5.644,1.155,-6.798,-1.9,-1.756,-3.744,2.911,-6.655,5.051,5.048,7.144,-15.545,4.257,-8.739,11.049,-20.801,7.204,2024-25
Mason Plumlee,203486,16.45,15-20,107,105,-7.13,-0.115,-7.015,-2.43,-2.099,-4.7,1.984,-6.685,5.138,5.143,7.268,-17.199,2.94,-10.195,9.965,-21.26,7.23,2024-25
Dwight Powell,203939,11.76,10-15,96,99,-6.992,0.655,-7.647,-2.203,-1.182,-4.789,1.837,-6.626,5.199,5.192,7.353,-17.182,3.198,-9.521,10.83,-22.058,6.765,2024-25
