Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season
Terance Mann,1629611,461,471,0.383,-0.221,0.604,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bradley Beal,203078,192,198,0.292,-0.312,0.604,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Aaron Holiday,1628988,109,109,0.041,-0.559,0.6,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Julius Randle,203944,604,608,0.273,-0.326,0.599,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
DeMarcus Cousins,202326,96,95,0.624,0.027,0.598,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Keegan Murray,1631099,636,632,0.423,-0.162,0.585,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Joe Ingles,204060,204,207,0.624,0.044,0.58,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Reggie Bullock Jr.,203493,1249,1243,0.297,-0.272,0.569,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Luka Doncic,1629029,937,942,0.508,-0.058,0.567,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Duncan Robinson,1629130,882,894,0.581,0.02,0.561,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Wesley Matthews,202083,722,747,-0.567,-1.113,0.546,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jalen Williams,1631114,213,212,0.459,-0.084,0.542,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Danny Green,201980,614,609,-0.023,-0.558,0.535,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jarrett Allen,1628386,595,598,-0.149,-0.68,0.531,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Mitchell Robinson,1629011,685,680,0.054,-0.476,0.53,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Montrezl Harrell,1626149,34,33,0.006,-0.523,0.529,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Sidy Cissoko,1631321,52,52,0.26,-0.259,0.519,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Ricky Rubio,201937,34,35,-0.606,-1.119,0.513,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jordan Walsh,1641775,58,57,0.093,-0.415,0.507,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Quentin Grimes,1629656,459,462,-0.553,-1.056,0.502,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dean Wade,1629731,17,18,-0.706,-1.198,0.493,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Boban Marjanovic,1626246,25,25,-0.051,-0.544,0.493,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Malcolm Brogdon,1627763,859,847,0.856,0.363,0.493,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jakob Poeltl,1627751,136,134,0.165,-0.326,0.491,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
George Hill,201588,153,152,-0.587,-1.067,0.48,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Tristan Vukcevic,1641774,52,51,-0.039,-0.509,0.47,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Gui Santos,1630611,47,47,0.35,-0.116,0.466,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Ja Morant,1629630,962,980,0.421,-0.041,0.462,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Leaky Black,1641778,65,64,0.139,-0.32,0.459,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nate Williams,1631466,50,49,0.115,-0.344,0.459,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Taj Gibson,201959,36,35,-0.184,-0.638,0.454,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Victor Wembanyama,1641705,77,79,-0.277,-0.712,0.435,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Pascal Siakam,1627783,609,605,1.251,0.822,0.429,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Robert Covington,203496,128,130,-0.325,-0.753,0.428,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jalen McDaniels,1629667,204,203,0.042,-0.383,0.425,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Ben Sheppard,1641767,69,68,0.662,0.248,0.414,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jaylin Williams,1631119,150,152,0.349,-0.062,0.412,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Wendell Carter Jr.,1628976,55,56,-0.411,-0.819,0.408,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Isaiah Thomas,202738,11,12,0.034,-0.364,0.398,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Frank Ntilikina,1628373,143,142,-0.52,-0.913,0.393,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Bismack Biyombo,202687,248,251,0.073,-0.317,0.39,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Cason Wallace,1641717,49,49,0.11,-0.25,0.36,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Alec Burks,202692,22,23,0.293,-0.055,0.347,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dalen Terry,1631207,150,150,0.343,-0.0,0.343,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kelly Oubre Jr.,1626162,263,266,0.111,-0.206,0.317,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Adama Sanogo,1641766,77,76,0.254,-0.042,0.296,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Lester Quinones,1631311,36,36,-0.028,-0.319,0.291,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Paul Reed,1630194,561,567,0.207,-0.077,0.284,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Devonte' Graham,1628984,208,208,0.352,0.072,0.281,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jaden Springer,1630531,50,48,0.188,-0.089,0.277,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
RaiQuan Gray,1630564,18,17,0.15,-0.121,0.271,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Alex Caruso,1627936,500,504,-1.067,-1.333,0.266,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Terence Davis,1629056,108,110,0.59,0.337,0.253,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dyson Daniels,1630700,96,101,0.023,-0.23,0.252,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Gordon Hayward,202330,64,61,-0.008,-0.256,0.248,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Neemias Queta,1629674,37,33,0.221,-0.019,0.239,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Brandon Clarke,1629634,583,589,-0.625,-0.855,0.23,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Grayson Allen,1628960,993,980,0.054,-0.172,0.226,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Danuel House Jr.,1627863,226,225,-0.052,-0.277,0.224,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
AJ Griffin,1631100,51,52,0.137,-0.084,0.221,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Julian Champagnie,1630577,107,105,0.285,0.066,0.219,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Craig Porter Jr.,1641854,21,20,0.289,0.075,0.214,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Dewayne Dedmon,203473,226,224,-0.565,-0.775,0.21,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Klay Thompson,202691,2584,2568,0.267,0.058,0.209,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Moritz Wagner,1629021,74,76,-0.124,-0.332,0.207,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Brandin Podziemski,1641764,131,131,0.267,0.062,0.205,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nathan Knight,1630233,1,1,-0.013,-0.218,0.205,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Jalen Smith,1630188,67,66,0.566,0.367,0.198,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Henri Drell,1630929,52,52,0.25,0.053,0.197,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nate Hinton,1630207,30,32,0.018,-0.172,0.19,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Omer Yurtseven,1630209,88,90,0.309,0.121,0.188,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Goran Dragic,201609,180,176,0.435,0.247,0.188,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Josh Hart,1628404,865,860,-0.031,-0.204,0.174,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Rui Hachimura,1629060,896,896,0.274,0.104,0.17,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Nik Stauskas,203917,3,2,0.052,-0.118,0.17,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Sasha Vezenkov,1628426,19,18,0.09,-0.075,0.165,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Sam Merrill,1630241,10,10,-0.107,-0.267,0.161,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Clint Capela,203991,535,538,0.44,0.287,0.153,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
Kenneth Lofton Jr.,1631254,102,102,0.257,0.104,0.153,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
DeMar DeRozan,201942,716,721,-0.066,-0.215,0.149,2022-23-24,playoff,dummy,3000.0,3000.0,300.0,100.0
