Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Devin Booker,2023,3.869109464812026,-0.344704295266665,-1.0063944066773662,-0.2817981145220539,2.86271505813466,-0.6265024097887189,3.4892174679233787
Jordan Clarkson,2023,3.20819184692152,-1.5653110923046851,-1.042100624911839,0.2616224993751075,2.1660912220096806,-1.3036885929295776,3.4697798149392582
Kyrie Irving,2021,4.680149723982976,-0.6498511872493546,-1.799464090928981,0.06459012689166313,2.8806856330539947,-0.5852610603576915,3.465946693411686
Cam Thomas,2024,1.8330092250571648,-2.5727971329820245,-0.0916585583400305,0.8541782044397007,1.7413506667171343,-1.7186189285423237,3.459969595259458
Nikola Jokic,2024,5.679839405565052,1.175859150850612,-2.3252396907623747,-1.2797729898991843,3.3545997148026774,-0.10391383904857232,3.4585135538512497
Nikola Jokic,2023,6.683246975418034,1.6232839129921317,-2.7045086207762252,-1.0947477952280324,3.9787383546418087,0.5285361177640993,3.4502022368777094
Greg Monroe,2022,2.306691794171214,-1.501899658376851,-0.145472278481133,0.21595507041413017,2.161219515690081,-1.2859445879627207,3.447164103652802
Michael Beasley,2019,0.5625339499266835,-3.2329598625966227,0.1336399547380688,0.48282515616399,0.6961739046647523,-2.7501347064326325,3.446308611097385
Zach LaVine,2023,2.5953944990796147,-1.093186541868019,-0.3759233561668122,-0.10783602916021412,2.2194711429128025,-1.201022571028233,3.4204937139410356
Donovan Mitchell,2024,4.367248829370034,0.5952134747666102,-1.3438900568184935,-0.9741484438614344,3.0233587725515405,-0.37893496909482416,3.4022937416463646
Stephen Curry,2019,5.095589514277519,0.813097618639671,-2.5194237191835867,-1.6160599466985135,2.576165795093932,-0.8029623280588425,3.3791281231527748
Devin Booker,2024,3.960778366976101,-0.2618127897398778,-1.2877491190130883,-0.4380483499578843,2.6730292479630124,-0.6998611396977621,3.3728903876607745
Jamal Murray,2024,3.787172596550721,-0.4713371354299989,-1.419894165694928,-0.5174185733403148,2.3672784308557926,-0.9887557087703137,3.3560341396261064
Evan Fournier,2020,2.047422333853583,-1.5408824342460332,-0.11785610086803804,0.1318426455546118,1.929566232985545,-1.4090397886914214,3.3386060216769664
Justin Champagnie,2022,2.6418838389843344,-0.8933037984019869,-0.13718210316625054,0.07350457383423595,2.504701735818084,-0.819799224567751,3.3245009603858353
D'Angelo Russell,2019,3.3076136439888923,-1.2771855930980704,-0.9401532924676822,0.32656456829968344,2.3674603515212103,-0.9506210247983871,3.318081376319597
Terry Taylor,2022,1.8313775235216505,-2.907229672491429,-0.2370975440251296,1.1878719350787275,1.594279979496521,-1.7193577374127014,3.3136377169092226
Boban Marjanovic,2021,2.3276323610947065,-1.2559780928355195,-0.09695782041095935,0.1881801967135051,2.230674540683747,-1.0677978961220145,3.2984724368057616
Lou Williams,2019,4.241438375020326,-0.800413597152656,-1.3654536317505366,0.3787764309049073,2.8759847432697896,-0.4216371662477487,3.297621909517538
Kyrie Irving,2024,4.192337480165715,-0.8254539999591306,-1.732140740158979,-0.008623540793468054,2.4601967400067366,-0.8340775407525987,3.2942742807593355
Jordan Clarkson,2021,4.353615942100941,-0.665258142679964,-1.9434142274309376,-0.2147079910947729,2.410201714670003,-0.8799661337747369,3.2901678484447396
Luka Doncic,2022,4.310523259762602,-0.3790129359031016,-1.5355523382680678,-0.13415875484494824,2.7749709214945346,-0.5131716907480498,3.2881426122425843
Eric Gordon,2021,1.495827510506231,-2.2536580718384256,0.14600696275729608,0.619942922641815,1.6418344732635273,-1.6337151491966106,3.275549622460138
Ja Morant,2023,4.282275461153913,0.3222347908801675,-1.620551227285968,-0.9334738736940246,2.661724233867945,-0.6112390828138571,3.272963316681802
Darius Garland,2022,3.66644610267244,-0.4384249510928493,-1.244948251590755,-0.4038268891438906,2.4214978510816847,-0.8422518402367398,3.2637496913184245
Trae Young,2024,3.66894080168805,-1.395065692007305,-1.1735945783285942,0.6374504913413227,2.495346223359456,-0.7576152006659823,3.2529614240254383
Jimmy Butler,2023,4.099687315210284,0.0927315627550404,-1.048522043407104,-0.2520669453363299,3.05116527180318,-0.1593353825812895,3.2105006543844694
James Harden,2017,6.717793910332021,1.033656687968464,-3.1867647860661252,-0.7099572277764765,3.5310291242658955,0.3236994601919876,3.207329664073908
Damian Lillard,2018,4.040830047859978,0.4482003192189427,-1.193907537837699,-0.8061897998508581,2.846922510022279,-0.35798948063191544,3.2049119906541943
Luka Doncic,2020,4.890358698494026,-0.1776753467927214,-2.248650728392187,-0.36040537630815955,2.641707970101839,-0.538080723100881,3.17978869320272
Bojan Bogdanovic,2023,1.359084608267559,-2.596523796967984,0.48564553622684065,1.2682228698713431,1.8447301444943995,-1.3283009270966408,3.1730310715910406
