Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
D'Angelo Russell,1626156,1648,1625,1.099,-0.075,1.174,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.695,1.696,2.399,-2.223,4.42,-3.4,3.25,-3.529,5.876
Bobby Portis,1626171,806,800,0.343,-0.806,1.149,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.764,1.764,2.496,-3.115,3.8,-4.265,2.652,-3.743,6.041
Miles McBride,1630540,105,106,0.176,-0.953,1.129,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.876,1.876,2.653,-3.501,3.852,-4.629,2.723,-4.071,6.328
Javonte Green,1629750,289,286,0.71,-0.406,1.115,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.841,1.842,2.604,-2.899,4.318,-4.015,3.204,-3.988,6.219
Naji Marshall,1630230,205,211,0.143,-0.965,1.108,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.857,1.856,2.625,-3.496,3.782,-4.602,2.672,-4.037,6.253
Malik Monk,1628370,419,410,0.713,-0.389,1.103,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.825,1.826,2.581,-2.864,4.291,-3.968,3.19,-3.956,6.161
Jonathan Isaac,1628371,150,154,-0.195,-1.295,1.1,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.869,1.868,2.642,-3.857,3.467,-4.956,2.366,-4.078,6.278
De'Aaron Fox,1628368,815,819,0.908,-0.18,1.088,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.782,1.782,2.519,-2.585,4.401,-3.672,3.313,-3.85,6.026
Damian Lillard,203081,61,59,0.971,-0.108,1.079,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.886,1.886,2.667,-2.725,4.668,-3.805,3.59,-4.149,6.307
Jaden McDaniels,1630183,477,468,0.669,-0.386,1.055,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.812,1.814,2.564,-2.884,4.221,-3.941,3.168,-3.971,6.08
Rudy Gobert,203497,938,927,0.28,-0.764,1.044,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.759,1.76,2.488,-3.167,3.727,-4.213,2.684,-3.831,5.92
Bogdan Bogdanovic,203992,720,737,1.488,0.452,1.036,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.777,1.775,2.513,-1.995,4.972,-3.027,3.931,-3.889,5.961
Kyle Lowry,200768,1814,1826,0.413,-0.618,1.031,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.649,1.647,2.326,-2.818,3.644,-3.847,2.611,-3.528,5.591
Amen Thompson,1641708,154,153,0.396,-0.615,1.01,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.868,1.868,2.642,-3.265,4.057,-4.276,3.047,-4.167,6.188
Chris Boucher,1628449,199,205,0.321,-0.667,0.988,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.859,1.858,2.628,-3.322,3.965,-4.308,2.975,-4.163,6.139
Isaiah Joe,1630198,122,123,0.577,-0.403,0.98,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.872,1.872,2.648,-3.093,4.246,-4.073,3.266,-4.21,6.169
Isaiah Hartenstein,1628392,496,502,0.661,-0.312,0.973,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.809,1.808,2.557,-2.884,4.206,-3.855,3.232,-4.039,5.985
Tre Jones,1630200,139,136,0.742,-0.23,0.972,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.869,1.87,2.644,-2.921,4.406,-3.895,3.435,-4.21,6.154
Kenrich Williams,1629026,21,23,0.125,-0.84,0.966,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.894,1.894,2.679,-3.587,3.838,-4.552,2.871,-4.284,6.216
Dillon Brooks,1628415,1003,1007,-0.511,-1.47,0.959,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.755,1.754,2.483,-3.951,2.928,-4.909,1.969,-3.907,5.825
Franz Wagner,1630532,193,196,-0.116,-1.074,0.958,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.861,1.861,2.632,-3.764,3.533,-4.722,2.573,-4.2,6.117
Hassan Whiteside,202355,110,114,0.648,-0.294,0.941,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.876,1.875,2.652,-3.029,4.324,-3.969,3.381,-4.257,6.14
Dante Exum,203957,34,35,0.725,-0.214,0.939,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.891,2.675,-2.982,4.432,-3.921,3.492,-4.303,6.182
T.J. Warren,203933,141,141,0.161,-0.773,0.934,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.869,1.869,2.643,-3.503,3.824,-4.436,2.89,-4.247,6.114
Jock Landale,1629111,264,268,0.367,-0.561,0.928,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.845,1.844,2.609,-3.25,3.984,-4.176,3.054,-4.186,6.041
Tyrese Maxey,1630178,1867,1863,0.777,-0.133,0.91,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.7,1.7,2.404,-2.555,4.11,-3.465,3.199,-3.801,5.621
Anthony Edwards,1630162,1141,1138,0.631,-0.272,0.903,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.74,1.74,2.459,-2.779,4.04,-3.682,3.138,-3.918,5.723
James Harden,201935,1598,1594,1.073,0.179,0.894,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.712,1.712,2.418,-2.282,4.427,-3.177,3.534,-3.846,5.634
Andre Drummond,203083,215,211,0.379,-0.497,0.876,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.855,1.856,2.624,-3.257,4.014,-4.135,3.14,-4.267,6.019
Kristaps Porzingis,204001,45,45,0.302,-0.571,0.873,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.889,1.889,2.672,-3.401,4.004,-4.274,3.132,-4.364,6.109
Luguentz Dort,1629652,211,207,0.476,-0.395,0.871,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.857,1.858,2.627,-3.164,4.116,-4.037,3.246,-4.278,6.02
Svi Mykhailiuk,1629004,96,88,0.433,-0.42,0.853,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.879,1.88,2.658,-3.249,4.115,-4.105,3.265,-4.357,6.062
Mikal Bridges,1628969,1243,1245,0.646,-0.202,0.848,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.731,1.731,2.446,-2.746,4.039,-3.595,3.19,-3.946,5.642
Caleb Martin,1628997,1749,1759,0.214,-0.608,0.822,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.664,1.663,2.35,-3.048,3.476,-3.867,2.652,-3.785,5.429
Tyrese Haliburton,1630169,124,123,1.372,0.555,0.817,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.874,1.874,2.65,-2.3,5.045,-3.117,4.228,-4.377,6.011
Domantas Sabonis,1627734,752,745,0.03,-0.771,0.8,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.793,1.793,2.535,-3.484,3.544,-4.286,2.744,-4.169,5.769
Kyrie Irving,202681,449,449,1.154,0.355,0.799,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.822,1.821,2.576,-2.416,4.725,-3.215,3.925,-4.25,5.848
Lauri Markkanen,1628374,124,125,0.629,-0.16,0.789,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.873,1.873,2.649,-3.042,4.3,-3.83,3.511,-4.403,5.98
Bruce Brown,1628971,1335,1315,0.611,-0.178,0.789,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.697,1.699,2.4,-2.715,3.937,-3.508,3.152,-3.914,5.492
Trey Lyles,1626168,358,355,0.217,-0.57,0.788,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.831,1.831,2.589,-3.371,3.806,-4.16,3.019,-4.287,5.863
