team,pred_net_rating,pred_off,pred_def,total_minutes,matched_minutes,minute_coverage,run,source_file,actual_net_rating,actual_wins,team_ortg,team_drtg
DEN,1.794590277847729,0.8914936046335934,-0.9029444901368252,19855.0,19546.97,0.9844860236716193,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,3.9000000000000057,50,119.9,116.0
DET,-0.10182971271154606,-0.4426806561419394,-0.34108331230314304,21628.95833333333,20275.156666666666,0.9374079118465793,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,1.9000000000000057,44,115.0,113.1
GSW,2.4039043093668986,1.409462954211835,-0.994529233702567,17249.981666666667,16496.193333333333,0.95630207916163,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,3.299999999999997,48,115.0,111.7
HOU,1.075252663082317,0.28534318745595577,-0.7896178533726533,20154.903333333332,19406.685,0.9628766101747616,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,4.5,52,115.3,110.8
IND,1.3027140697388917,1.2136452986474888,-0.08899120569142142,19916.290000000005,19281.838333333333,0.9681440837291146,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,2.200000000000003,50,116.5,114.3
LAC,0.9090292378691819,0.762557330818974,-0.14635191585091548,19740.836666666666,19655.673333333332,0.9956859309070148,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,4.799999999999997,50,115.1,110.3
LAL,1.451554076050652,0.5683375485468397,-0.8831350353540076,19286.356666666667,17534.35166666667,0.9091583221092218,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,1.2000000000000028,50,115.9,114.7
MEM,0.5623910024844023,-0.058424193497485205,-0.6209008984081835,19751.23,15944.471666666666,0.8072647458748983,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,4.700000000000003,48,117.7,113.0
MIA,0.5757098955861955,-0.2929285487969779,-0.8684977141223506,21966.763333333336,19658.655,0.8949272453884496,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,0.5999999999999943,37,113.5,112.9
MIL,0.7756925515128725,0.6138079914032437,-0.16187284525185097,20911.763333333332,20733.22333333333,0.991462221661843,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,2.5,48,115.9,113.4
MIN,1.5665610455259715,0.36245347415409884,-1.2040532001097706,20060.014999999996,18662.406666666662,0.9303286496379323,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,5.099999999999994,49,116.6,111.5
NOP,0.13447698471337238,-0.0558559025031452,-0.1905179936290525,19196.51666666667,15332.845000000001,0.7987305856704905,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-9.5,21,110.4,119.9
NYK,2.836060985083059,1.2993814595791888,-1.5366865041054871,19953.376666666667,19277.348333333335,0.9661196024799813,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,4.200000000000003,51,118.5,114.3
OKC,2.278731454837517,1.0549275115527408,-1.2236693578088746,19703.11666666667,18161.95666666667,0.9217809026829089,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,12.799999999999997,68,120.3,107.5
ORL,1.3441310599737906,0.13582623030612276,-1.2080250033361242,18422.075,16793.463333333333,0.9115945588829343,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-0.19999999999998863,41,109.4,109.6
