Season,value,series,series_type,z_score
2011,1.7363771194175766,Age-Adjusted RAPM,impact,-0.7892795147925054
2012,2.5686275257018485,Age-Adjusted RAPM,impact,0.2922486178389992
2013,2.128037268711082,Age-Adjusted RAPM,impact,-0.2803083365352552
2014,1.2204224278611417,Age-Adjusted RAPM,impact,-1.459774247949646
2015,2.3256137025126447,Age-Adjusted RAPM,impact,-0.023553314383414906
2016,2.21473452723454,Age-Adjusted RAPM,impact,-0.16764329797579186
2017,1.481052436404288,Age-Adjusted RAPM,impact,-1.1210796864102903
2018,3.3564051958421266,Age-Adjusted RAPM,impact,1.3159834289994197
2019,2.4358380671328392,Age-Adjusted RAPM,impact,0.11968572802259658
2020,2.1362322019040727,Age-Adjusted RAPM,impact,-0.26965883642527505
2021,2.0596611841249035,Age-Adjusted RAPM,impact,-0.3691645972480723
2022,1.5157406009345153,Age-Adjusted RAPM,impact,-1.076001635951548
2023,1.8135402047553004,Age-Adjusted RAPM,impact,-0.6890043488529786
2024,2.741803850656238,Age-Adjusted RAPM,impact,0.5172951494233081
1997,-1.9917666060429515,BRef BPM,impact,-0.2625438933244371
1998,-0.6659311980561017,BRef BPM,impact,1.2510288731686374
1999,0.3233685187272978,BRef BPM,impact,2.3804127319813113
2000,-0.8267386458651972,BRef BPM,impact,1.0674512041858237
2001,-4.171722368880096,BRef BPM,impact,-2.7511798544049575
2002,-1.1718345277906095,BRef BPM,impact,0.6734899888157224
2003,-2.0128084372081236,BRef BPM,impact,-0.28656523293936587
2004,-1.6453487371109794,BRef BPM,impact,0.132926501479803
2005,-1.1348072688828221,BRef BPM,impact,0.7157602814652538
2006,-1.8363324545593582,BRef BPM,impact,-0.085100375636411
2007,-1.6045188871170162,BRef BPM,impact,0.1795378294309065
2008,-2.515146724200341,BRef BPM,impact,-0.8600342670125182
2009,-1.680720855681583,BRef BPM,impact,0.09254571587163918
2010,-0.9814511236972268,BRef BPM,impact,0.8908315486293431
2011,-1.8302912209747928,BRef BPM,impact,-0.07820370763785031
2012,-1.408212560872834,BRef BPM,impact,0.40364099299375944
2013,-1.580519795893486,BRef BPM,impact,0.20693517504236003
2014,-3.0847065223029966,BRef BPM,impact,-1.5102433307502574
2015,-2.6310289859999054,BRef BPM,impact,-0.9923253753377689
2016,-1.1472587184137713,BRef BPM,impact,0.7015457154641666
2017,-2.988355378027851,BRef BPM,impact,-1.4002489324133323
2018,-1.3846699865369336,BRef BPM,impact,0.43051717924832883
2019,-1.5272927932036076,BRef BPM,impact,0.26769908376597795
2020,-3.024202711118108,BRef BPM,impact,-1.4411722225819084
2021,-1.5698050504275274,BRef BPM,impact,0.21916712090795196
2022,-2.1893679586821326,BRef BPM,impact,-0.48812545810628927
2023,-2.022375404611688,BRef BPM,impact,-0.29748687617858877
2024,-1.02620585068332,BRef BPM,impact,0.8397395838726927
1997,0.31750633152037744,BRef VORP,impact,0.13676690225359156
1998,0.9210455790568413,BRef VORP,impact,1.8496989442510465
1999,0.7664342243526979,BRef VORP,impact,1.4108894639887701
2000,0.8801379824261928,BRef VORP,impact,1.7335972436313012
2001,-0.18146266874870826,BRef VORP,impact,-1.2793795903118577
2002,0.5694743641070784,BRef VORP,impact,0.8518887743415255
2003,0.20099864614902718,BRef VORP,impact,-0.1938988303000924
2004,0.48755378817188333,BRef VORP,impact,0.6193862817678286
2005,0.5658051782838609,BRef VORP,impact,0.8414750920660371
2006,0.4017200002135295,BRef VORP,impact,0.37577752512106777
2007,0.11486236463233838,BRef VORP,impact,-0.43836610759929595
2008,-0.15549137584245218,BRef VORP,impact,-1.2056692889970464
2009,0.22640536288757945,BRef VORP,impact,-0.12179087814775134
2010,0.5673321717335063,BRef VORP,impact,0.8458089212552643
2011,0.3537242579148408,BRef VORP,impact,0.23955863761962254
2012,0.2608297340521548,BRef VORP,impact,-0.024089513018465656
2013,0.36088409040377717,BRef VORP,impact,0.25987928211075406
2014,-0.20146445576558183,BRef VORP,impact,-1.336147566907019
2015,-0.18534132321730223,BRef VORP,impact,-1.2903877750259591
2016,0.3702883302401177,BRef VORP,impact,0.2865698806294914
2017,-0.37266095202357885,BRef VORP,impact,-1.8220280877099408
2018,0.4931638194804156,BRef VORP,impact,0.6353083654172657
2019,0.2756625560784557,BRef VORP,impact,0.018008190197697335
2020,-0.4426570356929186,BRef VORP,impact,-2.020687139330777
2021,0.18313062316731418,BRef VORP,impact,-0.24461087465752906
2022,0.09151904480818619,BRef VORP,impact,-0.5046178396226868
2023,0.010482904611177858,BRef VORP,impact,-0.734610175116771
2024,0.6610064619626539,BRef VORP,impact,1.1116701620939256
1997,-0.7372280698800785,RAPM VORP,impact,-1.451787683311657
