Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2016,BRef BPM,BRef_BPM,BRef_MP,27,-1.8777777777777773,-2.3,-3.2,-0.6499999999999999,-1.5589465979444324,-1.3513762822929805,32789.0
2017,BRef BPM,BRef_BPM,BRef_MP,24,-3.1750000000000003,-3.25,-4.425000000000001,-2.275,-3.182274754297095,-3.056763482099591,23097.0
2018,BRef BPM,BRef_BPM,BRef_MP,30,-2.0466666666666664,-2.2,-4.15,-0.45,-1.3918304162193202,-1.6271634667930757,40051.0
2019,BRef BPM,BRef_BPM,BRef_MP,30,-2.0900000000000003,-1.9500000000000002,-3.275,-1.05,-1.5857167946209043,-1.702944591163433,39858.0
2020,BRef BPM,BRef_BPM,BRef_MP,31,-2.8129032258064517,-3.3,-4.25,-1.6,-2.956124928073653,-3.0036632519197672,31282.0
2021,BRef BPM,BRef_BPM,BRef_MP,33,-3.1151515151515157,-3.1,-3.9,-1.5,-2.586920222634508,-2.173107499132705,33418.0
2022,BRef BPM,BRef_BPM,BRef_MP,41,-2.902439024390244,-2.9,-4.5,-1.5,-2.2603081776267895,-2.3255458109554765,41210.0
2023,BRef BPM,BRef_BPM,BRef_MP,32,-3.034375,-3.3,-4.0,-1.775,-2.515159115848879,-2.3235382628143655,38274.0
2024,BRef BPM,BRef_BPM,BRef_MP,28,-2.207142857142857,-2.75,-4.625,0.1,-1.6586011225559736,-1.381054109789788,32426.0
1997,BRef DBPM,BRef_DBPM,BRef_MP,18,-0.8222222222222222,-0.8,-1.75,0.17500000000000002,-1.1397754830634435,-1.210296236249278,25566.0
1998,BRef DBPM,BRef_DBPM,BRef_MP,13,-0.5384615384615384,-0.7,-1.4,-0.2,-0.3443924191750278,-0.6819677581485026,22425.0
1999,BRef DBPM,BRef_DBPM,BRef_MP,14,-0.4071428571428571,-0.45,-0.85,0.17500000000000002,-0.3941361083581103,-0.23691097878220865,12108.0
2000,BRef DBPM,BRef_DBPM,BRef_MP,14,-0.5857142857142856,-0.7,-1.0,-0.25,-0.3951686559418786,-0.3800297687259063,19270.0
2001,BRef DBPM,BRef_DBPM,BRef_MP,15,-0.5199999999999999,-0.8,-1.2000000000000002,0.7,-0.5317699859747546,-0.8791431797042937,17825.0
2002,BRef DBPM,BRef_DBPM,BRef_MP,21,-0.27142857142857146,-0.4,-1.0,0.5,-0.013914799853103206,-0.028257094750150587,27230.0
2003,BRef DBPM,BRef_DBPM,BRef_MP,18,-0.6444444444444444,-0.6499999999999999,-1.175,-0.325,-0.35823373959689186,-0.4227457986739968,25353.0
2004,BRef DBPM,BRef_DBPM,BRef_MP,16,-0.4625,-0.35,-0.925,0.17500000000000002,-0.4411002982263381,-0.43671883465822775,25484.0
2005,BRef DBPM,BRef_DBPM,BRef_MP,27,0.04814814814814814,-0.1,-0.85,0.9,0.025435755920367235,0.06384793513345198,35513.0
2006,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.785,-0.8500000000000001,-1.4249999999999998,-0.55,-0.6081852180282994,-0.8131288860848529,25937.0
2007,BRef DBPM,BRef_DBPM,BRef_MP,21,-0.06666666666666671,-0.3,-1.0,0.9,-0.17620736031299672,-0.1531086619284547,24537.0
2008,BRef DBPM,BRef_DBPM,BRef_MP,23,-0.47391304347826074,-0.6,-1.15,0.2,-0.3445994698866146,-0.4163042740397312,27164.0
2009,BRef DBPM,BRef_DBPM,BRef_MP,27,-0.6185185185185185,-0.7,-1.15,0.0,-0.7616862432809078,-0.7353005925251916,40184.0
2010,BRef DBPM,BRef_DBPM,BRef_MP,22,-0.5090909090909091,-0.5,-1.375,0.2,-0.5168967577596779,-0.5909791851705158,31799.0
2011,BRef DBPM,BRef_DBPM,BRef_MP,23,-0.31304347826086953,-0.6,-0.9,0.0,-0.3354115233492124,-0.34418656864351194,28759.0
2012,BRef DBPM,BRef_DBPM,BRef_MP,25,-0.44799999999999995,-0.6,-1.4,0.4,-0.3742574257425742,-0.5163543413484994,27270.0
2013,BRef DBPM,BRef_DBPM,BRef_MP,28,-0.42499999999999993,-0.4,-1.275,0.225,-0.5193284219179815,-0.47950694074394146,31627.0
2014,BRef DBPM,BRef_DBPM,BRef_MP,21,-0.41904761904761906,-0.2,-1.3,0.5,-0.44408765276021916,-0.30174968850354456,23730.0
