Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2000,BRef OBPM,BRef_OBPM,BRef_MP,14,-1.3714285714285714,-1.45,-2.375,-0.55,-0.5301556824078878,-0.4475560514481851,19270.0
2001,BRef OBPM,BRef_OBPM,BRef_MP,15,-2.513333333333333,-2.8,-3.0999999999999996,-1.55,-1.819865357643759,-3.287186641664745,17825.0
2002,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.47,-1.7,-2.65,-0.125,-0.8819063545150501,-1.1469801472390064,26910.0
2003,BRef OBPM,BRef_OBPM,BRef_MP,18,-2.0611111111111113,-1.9,-3.375,-1.1,-1.686786573581036,-1.5840333158452085,25353.0
2004,BRef OBPM,BRef_OBPM,BRef_MP,16,-1.7687499999999998,-2.5,-3.3,-1.15,-1.0821417359912102,-1.1900561478318636,25484.0
2005,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.2950000000000002,-1.05,-2.375,-0.05,-1.03063464094717,-1.2522202162527953,32349.0
2006,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.98,-1.75,-2.6,-0.45,-0.8110228630913368,-1.0212530263791884,25937.0
2007,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.4799999999999998,-1.55,-2.475,-0.625,-1.3285839270091238,-1.4426850216265434,24003.0
2008,BRef OBPM,BRef_OBPM,BRef_MP,20,-2.23,-2.8,-3.4,-1.075,-2.112090593663019,-2.137077249046774,26227.0
2009,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.0,-0.44999999999999996,-1.85,0.25,-0.5713180451964822,-0.902971228771238,35932.0
2010,BRef OBPM,BRef_OBPM,BRef_MP,20,-0.6249999999999999,-0.9,-1.625,0.9500000000000001,-0.2629196091709393,-0.40393149367879994,31011.0
2011,BRef OBPM,BRef_OBPM,BRef_MP,20,-2.125,-2.5,-3.45,-0.95,-1.3387911576081115,-1.464618660007058,27911.0
2012,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.2399999999999998,-1.2999999999999998,-2.7,-0.22500000000000003,-1.0243082615027355,-0.9075158493874993,25407.0
2013,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.595,-1.6,-2.9000000000000004,-0.30000000000000004,-1.0913123193004723,-1.0789054211530547,28362.0
2014,BRef OBPM,BRef_OBPM,BRef_MP,20,-3.2449999999999997,-3.1,-4.075,-2.775,-2.34910409556314,-2.787860065875561,23440.0
2015,BRef OBPM,BRef_OBPM,BRef_MP,20,-2.55,-2.6,-3.625,-1.7999999999999998,-2.3471205629152085,-2.3758286039890506,25439.0
2016,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.3950000000000002,-1.25,-2.3249999999999997,-0.775,-1.1095263616265827,-0.9606705502794503,29854.0
2017,BRef OBPM,BRef_OBPM,BRef_MP,20,-2.4750000000000005,-2.7,-3.925,-1.175,-2.591152065282171,-2.4578259000288707,21813.0
2018,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.3849999999999998,-1.15,-2.725,-0.30000000000000004,-1.0359221375343552,-1.1680888603914268,35293.0
2019,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.28,-1.2999999999999998,-2.9,-0.19999999999999998,-0.9136840579710145,-1.2917279037168878,34500.0
2020,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.9800000000000004,-2.8,-3.3,-1.125,-1.9696380923747603,-1.917409132166412,26609.0
2021,BRef OBPM,BRef_OBPM,BRef_MP,19,-1.9526315789473685,-2.2,-3.45,-0.7,-1.8270359514710794,-1.0483567240134661,26953.0
2022,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.77,-1.75,-2.25,-1.05,-1.5098821543356162,-1.6172379655827596,30803.0
2023,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.645,-1.35,-2.8499999999999996,-0.475,-1.3785100108645039,-1.3051326498587248,32215.0
2024,BRef OBPM,BRef_OBPM,BRef_MP,20,-1.56,-1.3,-3.225,-0.275,-1.2251419135101662,-0.9456193048476176,29067.0
1997,BRef PER,BRef_PER,BRef_MP,18,13.28888888888889,13.7,11.275,14.825,14.300508487835407,14.356036630452095,25566.0
1998,BRef PER,BRef_PER,BRef_MP,13,15.015384615384617,14.3,13.6,16.1,15.951687848383502,15.776435407506535,22425.0
1999,BRef PER,BRef_PER,BRef_MP,14,14.664285714285715,13.7,12.925,16.925,15.692723818962667,15.810276935933068,12108.0
2000,BRef PER,BRef_PER,BRef_MP,14,13.114285714285714,12.65,11.7,14.05,14.698287493513236,14.899041427636403,19270.0
2001,BRef PER,BRef_PER,BRef_MP,15,11.193333333333332,12.2,9.05,13.149999999999999,12.125166900420759,9.601349525620048,17825.0
2002,BRef PER,BRef_PER,BRef_MP,20,13.420000000000002,13.1,11.775,13.8,14.124347826086957,13.670007285031247,26910.0
2003,BRef PER,BRef_PER,BRef_MP,18,11.799999999999999,11.25,9.525,14.425,12.86005600915079,13.10481500961448,25353.0
2004,BRef PER,BRef_PER,BRef_MP,16,12.175,10.9,9.55,13.45,13.267014597394443,13.15178582703252,25484.0
2005,BRef PER,BRef_PER,BRef_MP,20,13.39,13.85,10.775,15.25,13.757797768091748,13.481564315440359,32349.0
