Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2022,BRef VORP,BRef_VORP,BRef_MP,20,0.014999999999999986,-0.05,-0.5,0.42500000000000004,0.19180274648573192,0.09151904480818619,30803.0
2023,BRef VORP,BRef_VORP,BRef_MP,20,-0.059999999999999984,-0.05,-0.7,0.4,-0.03544311656060839,0.010482904611177858,32215.0
2024,BRef VORP,BRef_VORP,BRef_MP,20,0.19499999999999992,-0.2,-0.725,0.8250000000000001,0.3931331062717171,0.6610064619626539,29067.0
1997,BRef WS,BRef_WS,BRef_MP,18,1.7944444444444447,1.1,0.625,3.125,2.494574825940702,2.6263420246934723,25566.0
1998,BRef WS,BRef_WS,BRef_MP,13,3.4153846153846152,2.0,0.8,4.0,4.7573645484949845,4.014839420632346,22425.0
1999,BRef WS,BRef_WS,BRef_MP,14,1.7,1.35,0.725,2.35,2.3885447637925337,2.272063436826571,12108.0
2000,BRef WS,BRef_WS,BRef_MP,14,1.9571428571428573,2.0,0.625,2.525,2.9667358588479504,3.1169757950061023,19270.0
2001,BRef WS,BRef_WS,BRef_MP,15,1.3066666666666673,1.3,0.05,2.3499999999999996,1.8262776998597472,0.997545985846104,17825.0
2002,BRef WS,BRef_WS,BRef_MP,20,2.435,1.9500000000000002,0.8,3.025,3.433359345968042,3.1590208085864315,26910.0
2003,BRef WS,BRef_WS,BRef_MP,18,1.8333333333333333,0.7,0.125,2.675,2.775963396836666,2.831974645161889,25353.0
