Season,Rookie_Age_Bin,n_players,player_share,poss,poss_share
2011,22,12,0.5217391304347826,47437.0,0.4260668061830299
2012,19,2,0.08,7346.0,0.06867217589649628
2012,20,5,0.2,22242.0,0.20792356878435478
2012,21,8,0.32,32530.0,0.30409826870582957
2012,22,10,0.4,44854.0,0.41930598661331936
2013,19,2,0.07142857142857142,12299.0,0.09951935525634387
2013,20,7,0.25,31026.0,0.25105191610564476
2013,21,9,0.32142857142857145,38231.0,0.3093523433454169
2013,22,10,0.35714285714285715,42028.0,0.3400763852925945
2014,19,2,0.09523809523809523,9419.0,0.09932929787189168
2014,20,2,0.09523809523809523,8584.0,0.09052369603273364
2014,21,9,0.42857142857142855,37789.0,0.39850884778436296
2014,22,8,0.38095238095238093,39034.0,0.41163815831101175
2015,19,3,0.125,11199.0,0.10635529639689263
2015,20,6,0.25,31032.0,0.2947064521643336
2015,21,8,0.3333333333333333,41178.0,0.3910615586240954
2015,22,7,0.2916666666666667,21889.0,0.20787669281467835
2016,19,2,0.07407407407407407,12600.0,0.09288610394397347
2016,20,11,0.4074074074074074,75446.0,0.5561813490600811
2016,21,6,0.2222222222222222,23822.0,0.17561371175820126
2016,22,8,0.2962962962962963,23782.0,0.1753188352377442
2017,19,4,0.16666666666666666,20387.0,0.20830268105280367
2017,20,6,0.25,22872.0,0.23369298675821482
2017,21,6,0.25,25013.0,0.25556849762955697
2017,22,8,0.3333333333333333,29600.0,0.3024358345594246
2018,19,1,0.03333333333333333,6867.0,0.04046505050028874
2018,20,14,0.4666666666666667,78697.0,0.4637364320986199
2018,21,8,0.26666666666666666,49884.0,0.2939505721794675
2018,22,7,0.23333333333333334,34254.0,0.20184794522162378
2019,19,2,0.06666666666666667,8983.0,0.053380000475386845
2019,20,10,0.3333333333333333,79224.0,0.470775593639324
2019,21,8,0.26666666666666666,38133.0,0.22659908250338714
2019,22,10,0.3333333333333333,41944.0,0.24924532338190203
2020,19,2,0.06451612903225806,5925.0,0.043133258107960544
2020,20,14,0.45161290322580644,70209.0,0.5111127288610636
2020,21,8,0.25806451612903225,35832.0,0.2608524733374586
2020,22,7,0.22580645161290322,25399.0,0.18490153969351728
2021,19,5,0.14705882352941177,31541.0,0.21642707654304044
2021,20,16,0.47058823529411764,68181.0,0.467842316533434
2021,21,6,0.17647058823529413,21229.0,0.14566850790818953
2021,22,7,0.20588235294117646,24784.0,0.17006209901533606
2022,19,5,0.12195121951219512,23635.0,0.13660270488960813
2022,20,15,0.36585365853658536,72638.0,0.41982429776904406
2022,21,13,0.3170731707317073,46362.0,0.267957461565137
2022,22,8,0.1951219512195122,30385.0,0.17561553577621083
2023,19,2,0.0625,12563.0,0.07778754705765802
2023,20,15,0.46875,66925.0,0.4143860213988508
2023,21,7,0.21875,36826.0,0.22801912026946702
2023,22,8,0.25,45190.0,0.2798073112740242
2024,19,4,0.14285714285714285,17463.0,0.13026937106965156
2024,20,13,0.4642857142857143,61021.0,0.45520055500436396
2024,21,5,0.17857142857142858,31525.0,0.23516817974980045
2024,22,6,0.21428571428571427,24044.0,0.17936189417618403
