Season,value,series,series_type,z_score,cohort,combined_z_score
2020,-3.0036632519197672,BRef BPM,impact,-1.3211992048986676,All qualifying,-1.367525161817328
2021,-2.173107499132705,BRef BPM,impact,-0.36094604851209294,All qualifying,-0.4149180065830846
2022,-2.3255458109554765,BRef BPM,impact,-0.5371887264910944,All qualifying,-0.5897573549193196
2023,-2.3235382628143655,BRef BPM,impact,-0.5348676849082374,All qualifying,-0.5874547945947631
2024,-1.381054109789788,BRef BPM,impact,0.5547923165416684,All qualifying,0.4935288056672657
1997,0.3180061370715546,BRef VORP,impact,0.2197593293312219,All qualifying,0.17804238427474786
1998,0.9292327874125552,BRef VORP,impact,2.0215843268738385,All qualifying,1.9441421667317478
1999,0.7687735364519631,BRef VORP,impact,1.5485691379803892,All qualifying,1.480505563097704
2000,0.8735573436807509,BRef VORP,impact,1.8574596012760987,All qualifying,1.7832715813145712
2001,-0.18658403224643122,BRef VORP,impact,-1.267713738284824,All qualifying,-1.2799381991393806
2002,0.5545987744441475,BRef VORP,impact,0.9172068768402243,All qualifying,0.8616614724829431
2003,0.20085509997699857,BRef VORP,impact,-0.12558828764073068,All qualifying,-0.16045794291464832
2004,0.48095515638953834,BRef VORP,impact,0.7001140654481707,All qualifying,0.6488730121744296
2005,0.4680566750553883,BRef VORP,impact,0.6620908442989579,All qualifying,0.6116036865232015
2006,0.3948420353415388,BRef VORP,impact,0.4462626111077302,All qualifying,0.40005473132113545
2007,0.10644263295383774,BRef VORP,impact,-0.40390524758855517,All qualifying,-0.4332566459453629
2008,-0.15305714420431557,BRef VORP,impact,-1.1688803760117714,All qualifying,-1.1830644295735302
2009,0.1895787209831531,BRef VORP,impact,-0.1588297399588518,All qualifying,-0.19304030900883382
2010,0.5549038586639753,BRef VORP,impact,0.9181062295980512,All qualifying,0.8625429935585839
2011,0.3389531227068687,BRef VORP,impact,0.2815086040394149,All qualifying,0.23856734134757693
2012,0.2639301118564624,BRef VORP,impact,0.060349503293795126,All qualifying,0.021793214976857288
2013,0.3145810601642592,BRef VORP,impact,0.2096626014044735,All qualifying,0.1681458465869716
2014,-0.19633259588612606,BRef VORP,impact,-1.296451368828809,All qualifying,-1.308106041810717
2015,-0.18775822007676746,BRef VORP,impact,-1.2711751072930797,All qualifying,-1.2833309387566136
2016,0.30618493230986543,BRef VORP,impact,0.1849117940858291,All qualifying,0.14388577944354244
2017,-0.3583444474279454,BRef VORP,impact,-1.7740434434599697,All qualifying,-1.7762287841745077
2018,0.3965153202307712,BRef VORP,impact,0.4511952601336639,All qualifying,0.40488957953531796
2019,0.23249300227591668,BRef VORP,impact,-0.03232343539615284,All qualifying,-0.06904227519737473
2020,-0.3808123284462202,BRef VORP,impact,-1.8402761406729518,All qualifying,-1.84114826986203
2021,0.03705180478122929,BRef VORP,impact,-0.6084613295784955,All qualifying,-0.6337569455834499
2022,0.06716909668249411,BRef VORP,impact,-0.5196790597352027,All qualifying,-0.5467349830342986
2023,-0.02023502279328287,BRef VORP,impact,-0.7773362271244113,All qualifying,-0.7992835201537062
2024,0.5032656204716146,BRef VORP,impact,0.7658827158619486,All qualifying,0.7133376518296003
1997,-0.7392554699247318,RAPM VORP,impact,-1.4133180433307317,All qualifying,-1.4322156148186085
1998,-0.39567285453465206,RAPM VORP,impact,-0.945654221035543,All qualifying,-0.9747903950084477
1999,1.7187866120437643,RAPM VORP,impact,1.9324197906708687,All qualifying,1.840273705895517
2000,1.1894271685741513,RAPM VORP,impact,1.2118878149188705,All qualifying,1.1355163958879644
2001,-0.059334144686886095,RAPM VORP,impact,-0.4878503637168058,All qualifying,-0.5270092751514086
2002,1.326097781636849,RAPM VORP,impact,1.3979155661418545,All qualifying,1.3174714262692804
2003,-0.013967979868142938,RAPM VORP,impact,-0.4261006910276925,All qualifying,-0.4666114931198654
2004,0.691791659547145,RAPM VORP,impact,0.534536535090115,All qualifying,0.472994423280057
2005,1.8713151715490872,RAPM VORP,impact,2.1400324170153446,All qualifying,2.0433410519538646
2006,1.1393728469443283,RAPM VORP,impact,1.1437569074536622,All qualifying,1.068877083977565
2007,1.8091242221876558,RAPM VORP,impact,2.055381867808968,All qualifying,1.9605437641761991
2008,0.06654598138922829,RAPM VORP,impact,-0.31650996907862106,All qualifying,-0.3594200498504596
2009,-0.12912888795983068,RAPM VORP,impact,-0.5828507361252845,All qualifying,-0.6199297966014651
2010,0.3575945309079729,RAPM VORP,impact,0.07964766825373792,All qualifying,0.02806447577925061
2011,-0.27170197163206267,RAPM VORP,impact,-0.7769125724346336,All qualifying,-0.8097430211842656
2012,0.6315418416536872,RAPM VORP,impact,0.4525281363338108,All qualifying,0.3927814411355801
2013,0.061362415007939666,RAPM VORP,impact,-0.3235655253215993,All qualifying,-0.36632113822092194
2014,-0.026211462811294176,RAPM VORP,impact,-0.44276577760344754,All qualifying,-0.48291172958600476
2015,0.06383109259855455,RAPM VORP,impact,-0.3202053110781322,All qualifying,-0.36303448942396405
2016,-0.1573782422993874,RAPM VORP,impact,-0.6213020442999114,All qualifying,-0.6575392871270441
2017,0.053715236772202524,RAPM VORP,impact,-0.33397440063514544,All qualifying,-0.3765021311720296
2018,0.4195377327610291,RAPM VORP,impact,0.16396099857434734,All qualifying,0.1105319274319209
2019,0.15637507198201728,RAPM VORP,impact,-0.19424005791844942,All qualifying,-0.2398270039010814
2020,-0.5466180326406139,RAPM VORP,impact,-1.151111644630498,All qualifying,-1.1757497223481423
2021,0.3285517395261142,RAPM VORP,impact,0.040116381688667005,All qualifying,-0.01060134908113876
2022,-0.9171684564746903,RAPM VORP,impact,-1.655482412536207,All qualifying,-1.669078259592709
2023,-0.3431413809919556,RAPM VORP,impact,-0.8741515645932657,All qualifying,-0.9048531520983589
2024,0.08882233406525494,RAPM VORP,impact,-0.28618874858427623,All qualifying,-0.32976265432760576
1997,20.045554005003424,Avg MPG,context,-0.6012594323928989,Top 20 minutes,-0.2250653363508312
1998,24.279030245396896,Avg MPG,context,1.2490298052888602,Top 20 minutes,1.744541524148632
1999,19.438565218084513,Avg MPG,context,-0.8665508279400211,Top 20 minutes,-0.5074642943406413
2000,20.14928286050284,Avg MPG,context,-0.5559235490504246,Top 20 minutes,-0.17680592639500312
2001,17.350758363145314,Avg MPG,context,-1.7790507062181047,Top 20 minutes,-1.4788075761689712
2002,19.8128149734267,Avg MPG,context,-0.702980689549373,Top 20 minutes,-0.33334618340642047
2003,20.590927700619048,Avg MPG,context,-0.36289761760720235,Top 20 minutes,0.028667461809538584
2004,22.756010170593264,Avg MPG,context,0.5833764525442815,Top 20 minutes,1.035962895694387
2005,22.789920739806856,Avg MPG,context,0.5981974548829507,Top 20 minutes,1.0517396441568576
2006,18.865490953517348,Avg MPG,context,-1.117019493384205,Top 20 minutes,-0.7740846646872255
2007,17.924623300903754,Avg MPG,context,-1.5282364680074123,Top 20 minutes,-1.2118193484745436
