draw,challenger_minus_control_rmse
757,-0.00029850753880051873
758,0.00033620809429912857
759,0.0004565639762793117
760,-0.0008737773882363964
761,0.0019371662664455114
762,0.00045736545865107117
763,-0.0013186839885776847
764,6.557314676653991e-05
765,0.001401583789826999
766,-0.0006281079965228198
767,0.000726701475996605
768,-0.0003468592031354412
769,0.00035389948188062624
770,-0.00020702000954575528
771,2.1581532652903412e-05
772,-0.00022309780502192123
773,0.00011307130152276024
774,-5.595791017294349e-05
775,-0.0006193046570478478
776,-0.0004954906478768839
777,0.0014023181503281634
778,0.0001561985362313445
779,-0.00034491126854701014
780,-0.0008082959588229466
781,-0.00025580577871973096
782,0.0002229191573928535
783,-0.0007103709535468905
784,0.0007050484483999587
785,0.0010083628781232701
786,0.0012991187908002466
787,0.0007467070779899609
788,0.0012922879567921486
789,-0.0008608432707877034
790,0.0010212454658931724
791,-3.6146236347311957e-05
792,-0.00018323912291624557
793,-0.0004582016027308899
794,0.0002882665731734679
795,0.0008151521361252856
796,0.0008757688530453445
797,0.00169147517502235
798,-7.117039592368091e-05
799,-0.0005503846343251073
800,0.00014042520328860775
801,-0.0005968592617479507
802,0.0006582210499490148
803,2.781029794824974e-05
804,-0.0012793623184958803
805,-5.8958989004143095e-05
806,-0.0013679465502420384
807,0.001790652283582972
808,0.000996501819495843
809,0.00034160869988493215
810,-0.0002966037299862334
811,0.0009991519489728207
812,-0.000639396356189259
813,-0.00024281150854517098
814,0.0008857562361196392
815,8.028855568165127e-05
816,-0.0004214173655433306
817,-0.00011916027603651181
818,-0.0005713068848439695
819,0.0005307640910665379
820,-0.0005478294727695676
821,2.4121537548582593e-05
822,-0.0006376372489896642
823,0.0005638430807404449
824,0.0005212317341216855
825,0.0007458607549629237
826,-0.00020057388170429124
827,0.0006763175828377932
828,0.0015375564585250467
829,0.00022854496760427168
830,-0.00019098021331593885
831,0.0007388586886124315
832,-0.00014984787922278642
833,-0.00023792674519675927
834,0.0005035719511109927
835,0.0002706637065628792
836,0.001006347789532125
837,5.9891647089682645e-05
838,0.00039990636042941397
839,-0.00031549143702995773
840,0.0005641331367709501
841,9.80525591251169e-05
842,0.00018063276227733293
843,0.0007576566946403629
844,-0.0001732828137901432
845,0.0011584382066659681
846,0.0002855196446312824
847,-4.948514777860513e-05
848,0.0008369814880729409
849,0.001189336710122424
850,-0.0005895176270216851
851,-5.887392840777661e-05
852,7.622254821313402e-05
853,0.0010302490233835115
854,0.00012169339275254209
855,-5.8144658809622386e-05
856,0.0009576136152973369
857,0.0002038827000782506
858,1.682160978526692e-05
859,0.0004887908940241825
860,-4.254362518834043e-05
861,-0.0005592096617574426
862,0.0007873232124802065
863,0.00016719377990415119
864,0.00025318039232176127
865,-4.453182219599228e-05
866,4.517149709843959e-05
867,-0.0013440734839006208
868,-0.0006908605411626078
869,0.0005795237114705198
870,7.359682057697103e-05
871,0.00047282342271952603
872,-0.0008731570542917621
873,0.0010890379308499565
874,-0.00036928664703410606
875,0.0008077968315498785
876,-0.00013712689413056812
877,1.617149710655408e-05
878,5.1595331141274235e-05
879,0.0001760929670464817
880,0.00020622654467234992
881,0.0006208405641902947
882,-0.0005965954469333123
883,-0.000255121108507006
884,-7.288285395909977e-05
885,-0.0006738002894261186
886,-0.0005942572082628051
887,0.0002472466170505783
888,-0.00035816941026365343
889,-0.00041526677319652093
890,0.000751897181458383
891,-0.0008111792456608757
