Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Kevin Durant,2023,3.11,-0.57,1.39,-1.32,3.7,-1.51,5.21
Jrue Holiday,2021,2.72,-1.78,1.73,-0.62,3.57,-1.64,5.21
Jose Alvarado,2024,1.51,-2.27,1.13,-1.38,2.41,-2.78,5.19
Kevin Durant,2018,4.14,-1.47,2.59,1.38,5.25,0.07,5.18
Rudy Gay,2017,1.91,-1.53,0.91,-1.66,2.34,-2.8,5.14
OG Anunoby,2024,0.45,-0.45,1.09,-3.38,1.56,-3.57,5.13
Kyle Lowry,2018,2.32,-1.17,1.73,-0.72,3.61,-1.52,5.13
Rudy Gobert,2020,-0.58,-3.18,1.24,-1.2,0.91,-4.2,5.11
Desmond Bane,2023,2.44,-0.39,1.95,-1.33,3.78,-1.31,5.1
Rudy Gobert,2019,1.1,-1.79,0.93,-1.92,1.67,-3.41,5.09
Kyle Lowry,2019,1.17,-1.48,2.47,-0.98,3.38,-1.69,5.07
George Hill,2022,0.53,-0.76,0.49,-3.53,1.01,-4.03,5.05
Kemba Walker,2018,2.57,0.24,2.25,-0.33,4.39,-0.63,5.02
Karl-Anthony Towns,2021,3.51,-0.28,1.93,0.21,4.75,-0.26,5.01
Pascal Siakam,2022,2.5,-1.46,2.29,-0.05,4.07,-0.93,5.0
Jordan McLaughlin,2024,1.72,-1.87,0.33,-1.76,1.98,-3.01,4.99
Joel Embiid,2020,2.47,-2.82,-0.55,-1.7,1.31,-3.66,4.97
Jayson Tatum,2024,4.22,0.75,2.02,-0.99,4.74,-0.22,4.96
Khris Middleton,2020,2.55,-1.16,1.85,-1.25,3.56,-1.4,4.96
Jimmy Butler,2019,2.31,-1.6,1.35,-0.79,3.0,-1.96,4.96
Karl-Anthony Towns,2022,3.63,-0.34,2.61,0.33,5.0,0.05,4.96
Ja Morant,2023,3.62,-0.81,0.66,-1.24,3.42,-1.52,4.94
Kawhi Leonard,2019,3.94,-1.88,1.62,0.71,4.5,-0.42,4.93
Russell Westbrook,2018,2.32,-0.18,2.36,-0.63,4.04,-0.88,4.92
James Harden,2017,3.89,0.75,2.93,0.69,5.85,0.93,4.92
Paul Millsap,2019,1.14,-0.59,2.05,-1.57,2.71,-2.19,4.9
Derrick White,2022,1.6,-1.8,0.24,-2.3,1.45,-3.45,4.9
LeBron James,2022,3.53,-2.45,1.31,0.95,3.97,-0.92,4.89
Josh Hart,2023,0.57,-0.34,3.21,-0.97,3.45,-1.44,4.89
Jrue Holiday,2019,2.15,1.43,2.82,-1.34,4.36,-0.52,4.88
Stephen Curry,2023,4.14,0.36,2.46,0.26,5.46,0.6,4.87
Bam Adebayo,2022,0.74,-2.13,0.58,-2.23,0.96,-3.88,4.85
Joel Embiid,2017,2.68,-1.35,0.1,-1.45,2.27,-2.57,4.84
Andre Drummond,2019,1.16,-1.17,2.18,-0.51,3.16,-1.68,4.84
Darius Garland,2023,3.04,0.18,2.35,-0.67,4.64,-0.18,4.82
Tyus Jones,2018,1.1,-0.86,1.41,-1.39,2.54,-2.26,4.8
Anthony Davis,2021,1.79,-1.75,1.07,-0.82,2.58,-2.21,4.79
Marc Gasol,2019,0.81,-2.24,1.35,-1.43,2.12,-2.66,4.77
Paul Millsap,2017,1.56,-1.17,0.68,-1.99,2.01,-2.76,4.77
Lauri Markkanen,2023,3.4,-0.49,1.21,-0.9,3.5,-1.27,4.76
Tyreke Evans,2018,3.06,0.49,1.52,-0.96,4.03,-0.73,4.76
Jonathan Isaac,2024,0.84,-1.36,0.47,-2.52,1.35,-3.41,4.76
JaVale McGee,2017,1.78,-0.4,3.37,-0.0,4.54,-0.21,4.75
Aaron Gordon,2023,1.38,-0.38,2.46,-1.15,3.17,-1.57,4.74
Kyrie Irving,2024,3.45,1.61,2.4,-0.85,4.9,0.17,4.73
Mike Conley,2017,3.2,-0.56,2.19,0.14,4.59,-0.13,4.72
Zion Williamson,2023,3.02,0.08,1.13,-1.01,3.62,-1.09,4.72
Jimmy Butler,2020,2.32,-0.84,2.08,-0.06,3.83,-0.89,4.71
Chris Paul,2021,3.14,-0.14,0.77,-1.04,3.32,-1.39,4.71
Hassan Whiteside,2022,0.8,-0.97,2.7,-0.24,3.16,-1.55,4.71
Paul George,2023,2.87,-0.5,1.46,-0.59,3.74,-0.94,4.68
Jose Alvarado,2022,1.06,-1.58,0.72,-1.74,1.75,-2.9,4.65
Al Horford,2019,1.33,-1.69,2.21,-0.56,3.18,-1.46,4.65
Gordon Hayward,2017,2.78,-0.14,1.5,-0.78,3.6,-1.05,4.64
Bam Adebayo,2020,1.23,-1.71,1.62,-0.54,2.43,-2.21,4.64
De'Anthony Melton,2021,1.92,0.05,1.21,-1.71,3.07,-1.55,4.62
Anthony Davis,2024,1.66,-1.86,0.81,-1.21,1.96,-2.64,4.6
Giannis Antetokounmpo,2017,2.15,-2.4,0.48,-0.71,2.22,-2.37,4.6
Bogdan Bogdanovic,2024,1.63,0.17,1.92,-1.2,3.47,-1.1,4.56
Steven Adams,2023,1.58,-1.59,1.65,-0.64,2.77,-1.79,4.56
Manu Ginobili,2017,1.06,-3.12,0.98,-0.78,1.78,-2.77,4.56
De'Anthony Melton,2024,1.28,-1.66,2.41,-0.37,3.23,-1.31,4.54
George Hill,2017,2.45,-0.08,0.79,-1.72,2.62,-1.89,4.5
Isaiah Hartenstein,2024,1.56,-0.89,2.04,-1.07,2.92,-1.58,4.5
DeMarcus Cousins,2017,3.47,-2.47,1.55,0.84,3.77,-0.73,4.5
Mike Conley,2019,3.01,-0.3,1.21,-0.69,3.89,-0.58,4.47
Karl-Anthony Towns,2018,1.39,-0.3,3.62,0.44,4.51,0.04,4.47
Karl-Anthony Towns,2019,2.55,-1.38,1.65,0.22,3.55,-0.91,4.46
Nikola Jokic,2018,2.13,0.1,2.78,-0.41,4.0,-0.45,4.45
Damian Lillard,2021,4.66,0.66,2.2,1.4,5.96,1.52,4.44
Blake Griffin,2017,2.57,-0.41,2.48,0.06,4.13,-0.31,4.44
Kristaps Porzingis,2023,1.67,-1.79,1.67,-0.46,2.85,-1.58,4.42
Patrick Beverley,2017,1.54,-1.99,1.52,-0.36,2.67,-1.75,4.42
Fred VanVleet,2018,1.85,-0.91,1.26,-1.43,2.57,-1.84,4.41
Herbert Jones,2024,1.15,-1.04,1.26,-1.48,1.97,-2.44,4.41
Nikola Jokic,2020,2.13,-1.27,1.97,0.45,3.52,-0.88,4.4
Kemba Walker,2020,3.39,-0.92,2.56,0.93,4.88,0.49,4.4
Derrick White,2019,0.87,-1.42,1.22,-1.4,1.98,-2.41,4.39
Eric Bledsoe,2019,2.17,-0.73,2.29,-0.71,3.55,-0.82,4.37
Danny Green,2020,1.77,-2.14,1.88,-0.6,2.83,-1.54,4.37
De'Anthony Melton,2020,0.78,-1.09,1.29,-1.55,2.19,-2.16,4.36
Gary Harris,2018,2.35,-2.48,0.76,-0.23,2.21,-2.14,4.35
Kristaps Porzingis,2020,1.66,-0.88,1.78,-0.37,2.95,-1.39,4.35
Duncan Robinson,2020,1.31,0.63,2.86,-0.71,3.98,-0.35,4.33
